"UF de residência",Resultados,"Nº de exames realizados"
"Paraná","Negativo / Não Detectável","2.398"
"Paraná","Positivo / Detectável",826
"São Paulo","Negativo / Não Detectável","1.726"
"São Paulo","Positivo / Detectável",973
"São Paulo","Inconclusivo / Indeterminado",2
"Minas Gerais","Negativo / Não Detectável",584
"Minas Gerais","Positivo / Detectável",120
"Minas Gerais","Inconclusivo / Indeterminado",8
"Rio Grande do Sul","Negativo / Não Detectável",440
"Rio Grande do Sul","Positivo / Detectável",252
"Rio Grande do Sul","Inconclusivo / Indeterminado",1
"Mato Grosso do Sul","Negativo / Não Detectável",362
"Mato Grosso do Sul","Positivo / Detectável",194
"Mato Grosso do Sul","Inconclusivo / Indeterminado",1
Bahia,"Negativo / Não Detectável",346
Bahia,"Positivo / Detectável",194
"Santa Catarina","Negativo / Não Detectável",373
"Santa Catarina","Positivo / Detectável",140
"Rio de Janeiro","Negativo / Não Detectável",278
"Rio de Janeiro","Positivo / Detectável",191
"Rio de Janeiro","Inconclusivo / Indeterminado",5
"Espírito Santo","Negativo / Não Detectável",301
"Espírito Santo","Positivo / Detectável",116
"Espírito Santo","Inconclusivo / Indeterminado",2
Pernambuco,"Negativo / Não Detectável",343
Pernambuco,"Positivo / Detectável",59
"Ceará","Negativo / Não Detectável",207
"Ceará","Positivo / Detectável",70
"Piauí","Negativo / Não Detectável",166
"Piauí","Positivo / Detectável",88
Sergipe,"Negativo / Não Detectável",182
Sergipe,"Positivo / Detectável",41
"Rondônia","Negativo / Não Detectável",132
"Rondônia","Positivo / Detectável",74
"Rondônia","Inconclusivo / Indeterminado",3
Tocantins,"Positivo / Detectável",103
Tocantins,"Negativo / Não Detectável",101
"Rio Grande do Norte","Negativo / Não Detectável",132
"Rio Grande do Norte","Positivo / Detectável",41
"Goiás","Negativo / Não Detectável",78
"Goiás","Positivo / Detectável",53
Amazonas,"Negativo / Não Detectável",74
Amazonas,"Positivo / Detectável",31
Amazonas,"Inconclusivo / Indeterminado",2
"Maranhão","Negativo / Não Detectável",67
"Maranhão","Positivo / Detectável",12
"Pará","Negativo / Não Detectável",70
"Pará","Positivo / Detectável",5
"Paraíba","Negativo / Não Detectável",42
"Paraíba","Positivo / Detectável",7
Acre,"Negativo / Não Detectável",31
Acre,"Positivo / Detectável",12
Alagoas,"Negativo / Não Detectável",25
Alagoas,"Positivo / Detectável",2
Roraima,"Negativo / Não Detectável",11
Roraima,"Positivo / Detectável",4
"Mato Grosso","Positivo / Detectável",4
"Mato Grosso","Negativo / Não Detectável",1
"Distrito Federal","Negativo / Não Detectável",1
"Distrito Federal","Positivo / Detectável",1
