"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável","1.647"
"São Paulo","Positivo / Detectável",927
"São Paulo","Inconclusivo / Indeterminado",6
"Paraná","Negativo / Não Detectável","1.611"
"Paraná","Positivo / Detectável",703
"Ceará","Negativo / Não Detectável","1.480"
"Ceará","Positivo / Detectável",84
"Ceará","Inconclusivo / Indeterminado",2
"Mato Grosso do Sul","Negativo / Não Detectável",400
"Mato Grosso do Sul","Positivo / Detectável",186
"Mato Grosso do Sul","Inconclusivo / Indeterminado",1
"Rio Grande do Sul","Negativo / Não Detectável",338
"Rio Grande do Sul","Positivo / Detectável",203
"Rio Grande do Sul","Inconclusivo / Indeterminado",6
Bahia,"Positivo / Detectável",275
Bahia,"Negativo / Não Detectável",271
"Minas Gerais","Negativo / Não Detectável",332
"Minas Gerais","Positivo / Detectável",189
"Minas Gerais","Inconclusivo / Indeterminado",10
"Santa Catarina","Negativo / Não Detectável",353
"Santa Catarina","Positivo / Detectável",168
"Santa Catarina","Inconclusivo / Indeterminado",3
"Rio de Janeiro","Negativo / Não Detectável",273
"Rio de Janeiro","Positivo / Detectável",152
"Rio de Janeiro","Inconclusivo / Indeterminado",1
"Espírito Santo","Negativo / Não Detectável",249
"Espírito Santo","Positivo / Detectável",135
Pernambuco,"Negativo / Não Detectável",292
Pernambuco,"Positivo / Detectável",51
Pernambuco,"Inconclusivo / Indeterminado",2
"Piauí","Negativo / Não Detectável",181
"Piauí","Positivo / Detectável",82
"Rio Grande do Norte","Negativo / Não Detectável",143
"Rio Grande do Norte","Positivo / Detectável",91
"Rio Grande do Norte","Inconclusivo / Indeterminado",2
Sergipe,"Negativo / Não Detectável",141
Sergipe,"Positivo / Detectável",40
"Rondônia","Negativo / Não Detectável",100
"Rondônia","Positivo / Detectável",62
"Pará","Negativo / Não Detectável",124
"Pará","Positivo / Detectável",36
Tocantins,"Positivo / Detectável",88
Tocantins,"Negativo / Não Detectável",44
"Goiás","Positivo / Detectável",52
"Goiás","Negativo / Não Detectável",47
"Paraíba","Negativo / Não Detectável",69
"Paraíba","Positivo / Detectável",22
"Maranhão","Negativo / Não Detectável",59
"Maranhão","Positivo / Detectável",3
Alagoas,"Negativo / Não Detectável",54
Alagoas,"Positivo / Detectável",1
Acre,"Negativo / Não Detectável",25
Acre,"Positivo / Detectável",15
"Amapá","Negativo / Não Detectável",27
"Amapá","Positivo / Detectável",3
Amazonas,"Negativo / Não Detectável",13
Amazonas,"Positivo / Detectável",10
Roraima,"Negativo / Não Detectável",11
Roraima,"Positivo / Detectável",1
"Distrito Federal","Negativo / Não Detectável",5
"Mato Grosso","Negativo / Não Detectável",2
"Mato Grosso","Positivo / Detectável",1
