"UF de residência",Resultados,"Nº de exames realizados"
"Paraná","Negativo / Não Detectável","6.359"
"Paraná","Positivo / Detectável","1.923"
"Paraná","Inconclusivo / Indeterminado",7
"São Paulo","Negativo / Não Detectável","5.049"
"São Paulo","Positivo / Detectável","2.914"
"São Paulo","Inconclusivo / Indeterminado",30
Bahia,"Negativo / Não Detectável","2.212"
Bahia,"Positivo / Detectável",803
Bahia,"Inconclusivo / Indeterminado",27
"Santa Catarina","Negativo / Não Detectável","1.451"
"Santa Catarina","Positivo / Detectável",868
"Santa Catarina","Inconclusivo / Indeterminado",4
Pernambuco,"Negativo / Não Detectável","1.491"
Pernambuco,"Positivo / Detectável",645
Pernambuco,"Inconclusivo / Indeterminado",12
"Minas Gerais","Negativo / Não Detectável","1.309"
"Minas Gerais","Positivo / Detectável",376
"Minas Gerais","Inconclusivo / Indeterminado",22
"Rio Grande do Sul","Negativo / Não Detectável","1.159"
"Rio Grande do Sul","Positivo / Detectável",509
"Rio Grande do Sul","Inconclusivo / Indeterminado",8
"Mato Grosso do Sul","Negativo / Não Detectável",976
"Mato Grosso do Sul","Positivo / Detectável",367
"Ceará","Negativo / Não Detectável",782
"Ceará","Positivo / Detectável",274
"Rio de Janeiro","Negativo / Não Detectável",772
"Rio de Janeiro","Positivo / Detectável",277
"Rio de Janeiro","Inconclusivo / Indeterminado",2
"Espírito Santo","Negativo / Não Detectável",522
"Espírito Santo","Positivo / Detectável",437
"Espírito Santo","Inconclusivo / Indeterminado",25
Sergipe,"Positivo / Detectável",607
Sergipe,"Negativo / Não Detectável",200
Sergipe,"Inconclusivo / Indeterminado",1
"Rio Grande do Norte","Negativo / Não Detectável",454
"Rio Grande do Norte","Positivo / Detectável",248
"Rio Grande do Norte","Inconclusivo / Indeterminado",1
Tocantins,"Positivo / Detectável",347
Tocantins,"Negativo / Não Detectável",242
"Rondônia","Negativo / Não Detectável",340
"Rondônia","Positivo / Detectável",232
"Rondônia","Inconclusivo / Indeterminado",2
"Pará","Negativo / Não Detectável",254
"Pará","Positivo / Detectável",86
"Goiás","Negativo / Não Detectável",189
"Goiás","Positivo / Detectável",130
"Piauí","Negativo / Não Detectável",142
"Piauí","Positivo / Detectável",121
Acre,"Negativo / Não Detectável",126
Acre,"Positivo / Detectável",90
"Paraíba","Negativo / Não Detectável",138
"Paraíba","Positivo / Detectável",51
"Maranhão","Negativo / Não Detectável",142
"Maranhão","Positivo / Detectável",24
Amazonas,"Negativo / Não Detectável",89
Amazonas,"Positivo / Detectável",55
Roraima,"Negativo / Não Detectável",77
Roraima,"Positivo / Detectável",20
Alagoas,"Positivo / Detectável",50
Alagoas,"Negativo / Não Detectável",39
"Amapá","Negativo / Não Detectável",78
"Amapá","Positivo / Detectável",6
"Mato Grosso","Negativo / Não Detectável",10
"Mato Grosso","Positivo / Detectável",2
"Distrito Federal","Negativo / Não Detectável",4
"Distrito Federal","Positivo / Detectável",4
