"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável","5.812"
"São Paulo","Positivo / Detectável","3.744"
"São Paulo","Inconclusivo / Indeterminado",91
"Paraná","Negativo / Não Detectável","6.893"
"Paraná","Positivo / Detectável","2.035"
"Paraná","Inconclusivo / Indeterminado",5
Bahia,"Negativo / Não Detectável","2.707"
Bahia,"Positivo / Detectável","1.058"
Bahia,"Inconclusivo / Indeterminado",28
"Santa Catarina","Negativo / Não Detectável","1.466"
"Santa Catarina","Positivo / Detectável",935
"Santa Catarina","Inconclusivo / Indeterminado",5
"Rio Grande do Sul","Negativo / Não Detectável","1.785"
"Rio Grande do Sul","Positivo / Detectável",607
"Rio Grande do Sul","Inconclusivo / Indeterminado",13
"Rio de Janeiro","Negativo / Não Detectável","1.667"
"Rio de Janeiro","Positivo / Detectável",435
"Rio de Janeiro","Inconclusivo / Indeterminado",3
Pernambuco,"Negativo / Não Detectável","1.497"
Pernambuco,"Positivo / Detectável",575
Pernambuco,"Inconclusivo / Indeterminado",12
"Minas Gerais","Negativo / Não Detectável","1.325"
"Minas Gerais","Positivo / Detectável",543
"Minas Gerais","Inconclusivo / Indeterminado",25
"Mato Grosso do Sul","Negativo / Não Detectável","1.039"
"Mato Grosso do Sul","Positivo / Detectável",403
"Mato Grosso do Sul","Inconclusivo / Indeterminado",1
"Ceará","Negativo / Não Detectável",866
"Ceará","Positivo / Detectável",425
"Espírito Santo","Negativo / Não Detectável",633
"Espírito Santo","Positivo / Detectável",400
"Espírito Santo","Inconclusivo / Indeterminado",14
Sergipe,"Negativo / Não Detectável",524
Sergipe,"Positivo / Detectável",390
"Rio Grande do Norte","Negativo / Não Detectável",518
"Rio Grande do Norte","Positivo / Detectável",368
"Rio Grande do Norte","Inconclusivo / Indeterminado",1
"Goiás","Negativo / Não Detectável",434
"Goiás","Positivo / Detectável",363
Tocantins,"Positivo / Detectável",459
Tocantins,"Negativo / Não Detectável",319
"Rondônia","Negativo / Não Detectável",381
"Rondônia","Positivo / Detectável",381
"Rondônia","Inconclusivo / Indeterminado",3
"Pará","Negativo / Não Detectável",267
"Pará","Positivo / Detectável",124
"Pará","Inconclusivo / Indeterminado",1
"Piauí","Positivo / Detectável",194
"Piauí","Negativo / Não Detectável",135
Acre,"Negativo / Não Detectável",151
Acre,"Positivo / Detectável",131
Amazonas,"Negativo / Não Detectável",197
Amazonas,"Positivo / Detectável",64
Amazonas,"Inconclusivo / Indeterminado",1
"Maranhão","Negativo / Não Detectável",185
"Maranhão","Positivo / Detectável",47
"Paraíba","Negativo / Não Detectável",112
"Paraíba","Positivo / Detectável",85
Roraima,"Negativo / Não Detectável",89
Roraima,"Positivo / Detectável",54
"Amapá","Negativo / Não Detectável",74
"Amapá","Positivo / Detectável",17
Alagoas,"Negativo / Não Detectável",65
Alagoas,"Positivo / Detectável",21
"Mato Grosso","Negativo / Não Detectável",8
"Mato Grosso","Positivo / Detectável",8
"Distrito Federal","Negativo / Não Detectável",5
"Distrito Federal","Positivo / Detectável",2
