"UF de residência",Resultados,"Nº de exames realizados"
"Paraná","Negativo / Não Detectável","1.609"
"Paraná","Positivo / Detectável",658
"Paraná","Inconclusivo / Indeterminado",8
"São Paulo","Negativo / Não Detectável",966
"São Paulo","Positivo / Detectável",666
"São Paulo","Inconclusivo / Indeterminado",6
Bahia,"Negativo / Não Detectável",502
Bahia,"Positivo / Detectável",372
Bahia,"Inconclusivo / Indeterminado",5
"Ceará","Negativo / Não Detectável",482
"Ceará","Positivo / Detectável",140
"Ceará","Inconclusivo / Indeterminado",1
"Espírito Santo","Positivo / Detectável",280
"Espírito Santo","Negativo / Não Detectável",236
"Espírito Santo","Inconclusivo / Indeterminado",10
Sergipe,"Positivo / Detectável",405
Sergipe,"Negativo / Não Detectável",103
"Rio Grande do Sul","Negativo / Não Detectável",302
"Rio Grande do Sul","Positivo / Detectável",172
"Rio Grande do Sul","Inconclusivo / Indeterminado",1
"Mato Grosso do Sul","Negativo / Não Detectável",328
"Mato Grosso do Sul","Positivo / Detectável",70
"Minas Gerais","Negativo / Não Detectável",235
"Minas Gerais","Positivo / Detectável",155
"Minas Gerais","Inconclusivo / Indeterminado",3
"Santa Catarina","Negativo / Não Detectável",169
"Santa Catarina","Positivo / Detectável",166
"Santa Catarina","Inconclusivo / Indeterminado",1
Pernambuco,"Negativo / Não Detectável",198
Pernambuco,"Positivo / Detectável",128
Pernambuco,"Inconclusivo / Indeterminado",9
"Rio de Janeiro","Negativo / Não Detectável",201
"Rio de Janeiro","Positivo / Detectável",100
"Piauí","Negativo / Não Detectável",140
"Piauí","Positivo / Detectável",136
"Piauí","Inconclusivo / Indeterminado",5
"Goiás","Positivo / Detectável",111
"Goiás","Negativo / Não Detectável",84
"Rondônia","Positivo / Detectável",106
"Rondônia","Negativo / Não Detectável",61
"Rondônia","Inconclusivo / Indeterminado",1
"Rio Grande do Norte","Positivo / Detectável",107
"Rio Grande do Norte","Negativo / Não Detectável",59
"Pará","Negativo / Não Detectável",120
"Pará","Positivo / Detectável",38
Acre,"Positivo / Detectável",80
Acre,"Negativo / Não Detectável",68
Acre,"Inconclusivo / Indeterminado",1
"Maranhão","Negativo / Não Detectável",75
"Maranhão","Positivo / Detectável",28
Alagoas,"Positivo / Detectável",53
Alagoas,"Negativo / Não Detectável",39
"Paraíba","Positivo / Detectável",51
"Paraíba","Negativo / Não Detectável",41
Roraima,"Positivo / Detectável",46
Roraima,"Negativo / Não Detectável",38
Tocantins,"Positivo / Detectável",45
Tocantins,"Negativo / Não Detectável",35
"Amapá","Negativo / Não Detectável",32
"Amapá","Positivo / Detectável",20
"Amapá","Inconclusivo / Indeterminado",3
"Distrito Federal","Positivo / Detectável",6
"Distrito Federal","Negativo / Não Detectável",4
"Mato Grosso","Positivo / Detectável",4
"Mato Grosso","Inconclusivo / Indeterminado",1
"Mato Grosso","Negativo / Não Detectável",1
Amazonas,"Positivo / Detectável",3
Amazonas,"Negativo / Não Detectável",2
