"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável","1.580"
"São Paulo","Positivo / Detectável","1.069"
"São Paulo","Inconclusivo / Indeterminado",2
"Paraná","Negativo / Não Detectável","1.289"
"Paraná","Positivo / Detectável",616
"Paraná","Inconclusivo / Indeterminado",1
Bahia,"Negativo / Não Detectável",514
Bahia,"Positivo / Detectável",276
Bahia,"Inconclusivo / Indeterminado",6
"Rio Grande do Sul","Negativo / Não Detectável",373
"Rio Grande do Sul","Positivo / Detectável",216
"Minas Gerais","Negativo / Não Detectável",405
"Minas Gerais","Positivo / Detectável",149
"Minas Gerais","Inconclusivo / Indeterminado",16
"Mato Grosso do Sul","Negativo / Não Detectável",346
"Mato Grosso do Sul","Positivo / Detectável",156
"Santa Catarina","Negativo / Não Detectável",310
"Santa Catarina","Positivo / Detectável",147
"Santa Catarina","Inconclusivo / Indeterminado",1
"Espírito Santo","Negativo / Não Detectável",289
"Espírito Santo","Positivo / Detectável",128
"Espírito Santo","Inconclusivo / Indeterminado",8
Pernambuco,"Negativo / Não Detectável",341
Pernambuco,"Positivo / Detectável",46
"Rio de Janeiro","Negativo / Não Detectável",193
"Rio de Janeiro","Positivo / Detectável",128
"Ceará","Negativo / Não Detectável",170
"Ceará","Positivo / Detectável",80
"Pará","Negativo / Não Detectável",197
"Pará","Positivo / Detectável",31
"Rio Grande do Norte","Negativo / Não Detectável",158
"Rio Grande do Norte","Positivo / Detectável",56
Sergipe,"Negativo / Não Detectável",167
Sergipe,"Positivo / Detectável",28
"Rondônia","Negativo / Não Detectável",103
"Rondônia","Positivo / Detectável",75
"Rondônia","Inconclusivo / Indeterminado",3
Tocantins,"Positivo / Detectável",111
Tocantins,"Negativo / Não Detectável",57
"Piauí","Negativo / Não Detectável",82
"Piauí","Positivo / Detectável",35
"Goiás","Negativo / Não Detectável",60
"Goiás","Positivo / Detectável",52
"Paraíba","Negativo / Não Detectável",56
"Paraíba","Positivo / Detectável",26
Alagoas,"Negativo / Não Detectável",52
Alagoas,"Positivo / Detectável",13
"Maranhão","Negativo / Não Detectável",50
"Maranhão","Positivo / Detectável",9
Acre,"Negativo / Não Detectável",25
Acre,"Positivo / Detectável",10
"Amapá","Negativo / Não Detectável",27
"Amapá","Positivo / Detectável",3
Amazonas,"Negativo / Não Detectável",16
Amazonas,"Positivo / Detectável",9
Roraima,"Negativo / Não Detectável",13
Roraima,"Positivo / Detectável",1
"Mato Grosso","Negativo / Não Detectável",5
"Mato Grosso","Positivo / Detectável",3
"Distrito Federal","Negativo / Não Detectável",5
"Distrito Federal","Positivo / Detectável",1
