"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável","4.930"
"São Paulo","Positivo / Detectável","2.558"
"São Paulo","Inconclusivo / Indeterminado",24
"Paraná","Negativo / Não Detectável","5.676"
"Paraná","Positivo / Detectável","1.747"
"Paraná","Inconclusivo / Indeterminado",2
"Ceará","Negativo / Não Detectável","3.517"
"Ceará","Positivo / Detectável",323
"Ceará","Inconclusivo / Indeterminado",1
Bahia,"Negativo / Não Detectável","1.567"
Bahia,"Positivo / Detectável",761
Bahia,"Inconclusivo / Indeterminado",7
"Rio de Janeiro","Negativo / Não Detectável","1.841"
"Rio de Janeiro","Positivo / Detectável",470
"Rio de Janeiro","Inconclusivo / Indeterminado",15
"Rio Grande do Sul","Negativo / Não Detectável","1.656"
"Rio Grande do Sul","Positivo / Detectável",438
"Rio Grande do Sul","Inconclusivo / Indeterminado",3
"Santa Catarina","Negativo / Não Detectável","1.384"
"Santa Catarina","Positivo / Detectável",412
"Santa Catarina","Inconclusivo / Indeterminado",1
"Minas Gerais","Negativo / Não Detectável","1.267"
"Minas Gerais","Positivo / Detectável",436
"Minas Gerais","Inconclusivo / Indeterminado",36
Pernambuco,"Negativo / Não Detectável","1.463"
Pernambuco,"Positivo / Detectável",244
"Mato Grosso do Sul","Negativo / Não Detectável",796
"Mato Grosso do Sul","Positivo / Detectável",360
"Mato Grosso do Sul","Inconclusivo / Indeterminado",3
"Espírito Santo","Negativo / Não Detectável",639
"Espírito Santo","Positivo / Detectável",274
"Espírito Santo","Inconclusivo / Indeterminado",5
"Rondônia","Negativo / Não Detectável",549
"Rondônia","Positivo / Detectável",237
Tocantins,"Negativo / Não Detectável",377
Tocantins,"Positivo / Detectável",343
"Piauí","Negativo / Não Detectável",479
"Piauí","Positivo / Detectável",224
"Rio Grande do Norte","Negativo / Não Detectável",512
"Rio Grande do Norte","Positivo / Detectável",144
"Rio Grande do Norte","Inconclusivo / Indeterminado",2
Sergipe,"Negativo / Não Detectável",497
Sergipe,"Positivo / Detectável",135
"Goiás","Negativo / Não Detectável",187
"Goiás","Positivo / Detectável",118
"Pará","Negativo / Não Detectável",188
"Pará","Positivo / Detectável",51
"Maranhão","Negativo / Não Detectável",202
"Maranhão","Positivo / Detectável",31
"Paraíba","Negativo / Não Detectável",138
"Paraíba","Positivo / Detectável",40
Acre,"Negativo / Não Detectável",118
Acre,"Positivo / Detectável",25
Amazonas,"Negativo / Não Detectável",100
Amazonas,"Positivo / Detectável",36
Alagoas,"Negativo / Não Detectável",100
Alagoas,"Positivo / Detectável",11
"Mato Grosso","Negativo / Não Detectável",64
"Mato Grosso","Positivo / Detectável",24
Roraima,"Negativo / Não Detectável",54
Roraima,"Positivo / Detectável",7
"Amapá","Negativo / Não Detectável",52
"Amapá","Positivo / Detectável",9
"Distrito Federal","Negativo / Não Detectável",11
"Distrito Federal","Positivo / Detectável",4
