"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável","5.523"
"São Paulo","Positivo / Detectável","3.451"
"São Paulo","Inconclusivo / Indeterminado",22
"Paraná","Negativo / Não Detectável","6.373"
"Paraná","Positivo / Detectável","1.961"
"Paraná","Inconclusivo / Indeterminado",12
Bahia,"Negativo / Não Detectável","2.574"
Bahia,"Positivo / Detectável","1.011"
Bahia,"Inconclusivo / Indeterminado",27
"Santa Catarina","Negativo / Não Detectável","1.425"
"Santa Catarina","Positivo / Detectável","1.123"
"Santa Catarina","Inconclusivo / Indeterminado",5
"Minas Gerais","Negativo / Não Detectável","1.777"
"Minas Gerais","Positivo / Detectável",422
"Minas Gerais","Inconclusivo / Indeterminado",35
Pernambuco,"Negativo / Não Detectável","1.398"
Pernambuco,"Positivo / Detectável",704
Pernambuco,"Inconclusivo / Indeterminado",5
"Rio Grande do Sul","Negativo / Não Detectável","1.253"
"Rio Grande do Sul","Positivo / Detectável",580
"Rio Grande do Sul","Inconclusivo / Indeterminado",6
"Mato Grosso do Sul","Negativo / Não Detectável",978
"Mato Grosso do Sul","Positivo / Detectável",423
"Mato Grosso do Sul","Inconclusivo / Indeterminado",2
"Rio de Janeiro","Negativo / Não Detectável",967
"Rio de Janeiro","Positivo / Detectável",254
"Rio de Janeiro","Inconclusivo / Indeterminado",7
"Ceará","Negativo / Não Detectável",758
"Ceará","Positivo / Detectável",324
"Ceará","Inconclusivo / Indeterminado",2
Sergipe,"Positivo / Detectável",526
Sergipe,"Negativo / Não Detectável",412
"Espírito Santo","Negativo / Não Detectável",459
"Espírito Santo","Positivo / Detectável",438
"Espírito Santo","Inconclusivo / Indeterminado",15
"Rondônia","Positivo / Detectável",385
"Rondônia","Negativo / Não Detectável",331
"Rondônia","Inconclusivo / Indeterminado",1
"Rio Grande do Norte","Negativo / Não Detectável",421
"Rio Grande do Norte","Positivo / Detectável",234
Tocantins,"Positivo / Detectável",315
Tocantins,"Negativo / Não Detectável",191
"Piauí","Negativo / Não Detectável",211
"Piauí","Positivo / Detectável",166
"Piauí","Inconclusivo / Indeterminado",1
"Pará","Negativo / Não Detectável",271
"Pará","Positivo / Detectável",105
"Pará","Inconclusivo / Indeterminado",1
Acre,"Negativo / Não Detectável",201
Acre,"Positivo / Detectável",106
"Goiás","Negativo / Não Detectável",161
"Goiás","Positivo / Detectável",122
Amazonas,"Negativo / Não Detectável",156
Amazonas,"Positivo / Detectável",88
"Maranhão","Negativo / Não Detectável",192
"Maranhão","Positivo / Detectável",39
"Maranhão","Inconclusivo / Indeterminado",1
"Paraíba","Negativo / Não Detectável",131
"Paraíba","Positivo / Detectável",83
"Paraíba","Inconclusivo / Indeterminado",1
Roraima,"Negativo / Não Detectável",91
Roraima,"Positivo / Detectável",34
"Amapá","Negativo / Não Detectável",86
"Amapá","Positivo / Detectável",25
Alagoas,"Negativo / Não Detectável",76
Alagoas,"Positivo / Detectável",34
"Distrito Federal","Negativo / Não Detectável",11
"Distrito Federal","Positivo / Detectável",7
"Mato Grosso","Negativo / Não Detectável",5
"Mato Grosso","Positivo / Detectável",4
