"UF de residência",Resultados,"Nº de exames realizados"
"Paraná","Negativo / Não Detectável","7.131"
"Paraná","Positivo / Detectável","1.902"
"Paraná","Inconclusivo / Indeterminado",1
"São Paulo","Negativo / Não Detectável","5.467"
"São Paulo","Positivo / Detectável","2.432"
"São Paulo","Inconclusivo / Indeterminado",18
Bahia,"Negativo / Não Detectável","2.238"
Bahia,"Positivo / Detectável",808
Bahia,"Inconclusivo / Indeterminado",4
"Rio Grande do Sul","Negativo / Não Detectável","1.604"
"Rio Grande do Sul","Positivo / Detectável",550
"Rio Grande do Sul","Inconclusivo / Indeterminado",3
"Santa Catarina","Negativo / Não Detectável","1.645"
"Santa Catarina","Positivo / Detectável",491
"Santa Catarina","Inconclusivo / Indeterminado",4
Pernambuco,"Negativo / Não Detectável","1.615"
Pernambuco,"Positivo / Detectável",401
Pernambuco,"Inconclusivo / Indeterminado",6
"Ceará","Negativo / Não Detectável","1.311"
"Ceará","Positivo / Detectável",334
"Ceará","Inconclusivo / Indeterminado",3
"Mato Grosso do Sul","Negativo / Não Detectável","1.033"
"Mato Grosso do Sul","Positivo / Detectável",443
"Mato Grosso do Sul","Inconclusivo / Indeterminado",5
"Rio de Janeiro","Negativo / Não Detectável","1.126"
"Rio de Janeiro","Positivo / Detectável",304
"Rio de Janeiro","Inconclusivo / Indeterminado",9
"Minas Gerais","Negativo / Não Detectável",896
"Minas Gerais","Positivo / Detectável",364
"Minas Gerais","Inconclusivo / Indeterminado",26
"Espírito Santo","Negativo / Não Detectável",869
"Espírito Santo","Positivo / Detectável",286
"Espírito Santo","Inconclusivo / Indeterminado",10
Sergipe,"Negativo / Não Detectável",872
Sergipe,"Positivo / Detectável",208
"Rio Grande do Norte","Negativo / Não Detectável",673
"Rio Grande do Norte","Positivo / Detectável",193
"Rio Grande do Norte","Inconclusivo / Indeterminado",1
"Rondônia","Negativo / Não Detectável",549
"Rondônia","Positivo / Detectável",284
"Rondônia","Inconclusivo / Indeterminado",7
Tocantins,"Positivo / Detectável",420
Tocantins,"Negativo / Não Detectável",362
"Pará","Negativo / Não Detectável",440
"Pará","Positivo / Detectável",95
"Goiás","Negativo / Não Detectável",269
"Goiás","Positivo / Detectável",93
"Piauí","Negativo / Não Detectável",177
"Piauí","Positivo / Detectável",119
"Piauí","Inconclusivo / Indeterminado",1
"Maranhão","Negativo / Não Detectável",225
"Maranhão","Positivo / Detectável",33
"Paraíba","Negativo / Não Detectável",147
"Paraíba","Positivo / Detectável",32
Amazonas,"Negativo / Não Detectável",115
Amazonas,"Positivo / Detectável",35
"Mato Grosso","Negativo / Não Detectável",107
"Mato Grosso","Positivo / Detectável",42
Acre,"Negativo / Não Detectável",95
Acre,"Positivo / Detectável",46
Alagoas,"Negativo / Não Detectável",84
Alagoas,"Positivo / Detectável",17
Roraima,"Negativo / Não Detectável",75
Roraima,"Positivo / Detectável",16
"Amapá","Negativo / Não Detectável",70
"Amapá","Positivo / Detectável",8
"Distrito Federal","Negativo / Não Detectável",3
"Distrito Federal","Positivo / Detectável",3
