"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável","1.215"
"São Paulo","Positivo / Detectável",542
"São Paulo","Inconclusivo / Indeterminado",31
Bahia,"Negativo / Não Detectável","1.151"
Bahia,"Positivo / Detectável",525
Bahia,"Inconclusivo / Indeterminado",13
"Rio de Janeiro","Negativo / Não Detectável",646
"Rio de Janeiro","Positivo / Detectável",629
"Rio de Janeiro","Inconclusivo / Indeterminado",32
"Paraná","Negativo / Não Detectável",904
"Paraná","Positivo / Detectável",118
"Paraná","Inconclusivo / Indeterminado",1
Pernambuco,"Positivo / Detectável",733
Pernambuco,"Negativo / Não Detectável",250
Pernambuco,"Inconclusivo / Indeterminado",16
"Ceará","Positivo / Detectável",576
"Ceará","Negativo / Não Detectável",303
"Ceará","Inconclusivo / Indeterminado",2
Sergipe,"Negativo / Não Detectável",445
Sergipe,"Positivo / Detectável",419
"Espírito Santo","Positivo / Detectável",470
"Espírito Santo","Negativo / Não Detectável",317
"Espírito Santo","Inconclusivo / Indeterminado",7
"Santa Catarina","Negativo / Não Detectável",587
"Santa Catarina","Positivo / Detectável",141
"Amapá","Positivo / Detectável",426
"Amapá","Negativo / Não Detectável",118
"Amapá","Inconclusivo / Indeterminado",7
Amazonas,"Negativo / Não Detectável",310
Amazonas,"Positivo / Detectável",208
Amazonas,"Inconclusivo / Indeterminado",6
"Rio Grande do Sul","Negativo / Não Detectável",394
"Rio Grande do Sul","Positivo / Detectável",84
"Rio Grande do Sul","Inconclusivo / Indeterminado",1
Tocantins,"Negativo / Não Detectável",301
Tocantins,"Positivo / Detectável",168
"Minas Gerais","Negativo / Não Detectável",334
"Minas Gerais","Positivo / Detectável",80
"Minas Gerais","Inconclusivo / Indeterminado",7
"Mato Grosso do Sul","Negativo / Não Detectável",359
"Mato Grosso do Sul","Positivo / Detectável",45
"Mato Grosso do Sul","Inconclusivo / Indeterminado",4
"Rondônia","Negativo / Não Detectável",174
"Rondônia","Positivo / Detectável",154
"Rondônia","Inconclusivo / Indeterminado",9
"Paraíba","Positivo / Detectável",186
"Paraíba","Negativo / Não Detectável",150
Acre,"Positivo / Detectável",238
Acre,"Negativo / Não Detectável",76
Acre,"Inconclusivo / Indeterminado",1
"Maranhão","Positivo / Detectável",176
"Maranhão","Negativo / Não Detectável",137
"Rio Grande do Norte","Positivo / Detectável",168
"Rio Grande do Norte","Negativo / Não Detectável",127
"Pará","Positivo / Detectável",162
"Pará","Negativo / Não Detectável",121
"Piauí","Positivo / Detectável",141
"Piauí","Negativo / Não Detectável",133
"Piauí","Inconclusivo / Indeterminado",1
Alagoas,"Positivo / Detectável",195
Alagoas,"Negativo / Não Detectável",60
Alagoas,"Inconclusivo / Indeterminado",1
"Mato Grosso","Negativo / Não Detectável",210
"Mato Grosso","Positivo / Detectável",42
"Goiás","Negativo / Não Detectável",174
"Goiás","Positivo / Detectável",29
Roraima,"Positivo / Detectável",150
Roraima,"Negativo / Não Detectável",21
"Distrito Federal","Negativo / Não Detectável",4
"Distrito Federal","Positivo / Detectável",2
