"UF de residência",Resultados,"Nº de exames realizados"
"Paraná","Negativo / Não Detectável","5.217"
"Paraná","Positivo / Detectável","1.356"
"Paraná","Inconclusivo / Indeterminado",1
"São Paulo","Negativo / Não Detectável","4.199"
"São Paulo","Positivo / Detectável","1.848"
"São Paulo","Inconclusivo / Indeterminado",39
Bahia,"Negativo / Não Detectável","1.768"
Bahia,"Positivo / Detectável",843
Bahia,"Inconclusivo / Indeterminado",78
"Rio Grande do Sul","Negativo / Não Detectável","1.750"
"Rio Grande do Sul","Positivo / Detectável",440
"Rio Grande do Sul","Inconclusivo / Indeterminado",11
Pernambuco,"Negativo / Não Detectável","1.743"
Pernambuco,"Positivo / Detectável",273
Pernambuco,"Inconclusivo / Indeterminado",3
"Ceará","Negativo / Não Detectável","1.484"
"Ceará","Positivo / Detectável",353
"Ceará","Inconclusivo / Indeterminado",2
"Santa Catarina","Negativo / Não Detectável","1.471"
"Santa Catarina","Positivo / Detectável",245
"Santa Catarina","Inconclusivo / Indeterminado",7
"Rio de Janeiro","Negativo / Não Detectável","1.234"
"Rio de Janeiro","Positivo / Detectável",390
"Rio de Janeiro","Inconclusivo / Indeterminado",19
"Minas Gerais","Negativo / Não Detectável","1.082"
"Minas Gerais","Positivo / Detectável",370
"Minas Gerais","Inconclusivo / Indeterminado",5
"Espírito Santo","Negativo / Não Detectável",785
"Espírito Santo","Positivo / Detectável",314
"Espírito Santo","Inconclusivo / Indeterminado",1
"Mato Grosso do Sul","Negativo / Não Detectável",741
"Mato Grosso do Sul","Positivo / Detectável",294
"Mato Grosso do Sul","Inconclusivo / Indeterminado",2
Sergipe,"Negativo / Não Detectável",686
Sergipe,"Positivo / Detectável",151
"Rondônia","Negativo / Não Detectável",653
"Rondônia","Positivo / Detectável",136
"Rondônia","Inconclusivo / Indeterminado",4
"Piauí","Negativo / Não Detectável",611
"Piauí","Positivo / Detectável",154
"Rio Grande do Norte","Negativo / Não Detectável",481
"Rio Grande do Norte","Positivo / Detectável",101
Tocantins,"Positivo / Detectável",184
Tocantins,"Negativo / Não Detectável",172
"Goiás","Negativo / Não Detectável",221
"Goiás","Positivo / Detectável",125
"Maranhão","Negativo / Não Detectável",251
"Maranhão","Positivo / Detectável",25
"Mato Grosso","Negativo / Não Detectável",203
"Mato Grosso","Positivo / Detectável",57
Amazonas,"Negativo / Não Detectável",169
Amazonas,"Positivo / Detectável",69
"Pará","Negativo / Não Detectável",191
"Pará","Positivo / Detectável",33
"Pará","Inconclusivo / Indeterminado",6
"Paraíba","Negativo / Não Detectável",172
"Paraíba","Positivo / Detectável",57
Acre,"Negativo / Não Detectável",113
Acre,"Positivo / Detectável",19
Alagoas,"Negativo / Não Detectável",100
Alagoas,"Positivo / Detectável",9
Roraima,"Negativo / Não Detectável",32
Roraima,"Positivo / Detectável",32
"Distrito Federal","Negativo / Não Detectável",18
"Distrito Federal","Positivo / Detectável",6
"Amapá","Negativo / Não Detectável",2
"Amapá","Positivo / Detectável",1
