"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável","5.281"
"São Paulo","Positivo / Detectável","2.731"
"São Paulo","Inconclusivo / Indeterminado",14
"Paraná","Negativo / Não Detectável","4.835"
"Paraná","Positivo / Detectável","1.801"
"Paraná","Inconclusivo / Indeterminado",3
"Rio Grande do Sul","Negativo / Não Detectável","1.712"
"Rio Grande do Sul","Positivo / Detectável",647
"Rio Grande do Sul","Inconclusivo / Indeterminado",2
"Ceará","Negativo / Não Detectável","1.965"
"Ceará","Positivo / Detectável",409
Bahia,"Negativo / Não Detectável","1.504"
Bahia,"Positivo / Detectável",813
Bahia,"Inconclusivo / Indeterminado",2
"Rio de Janeiro","Negativo / Não Detectável","1.331"
"Rio de Janeiro","Positivo / Detectável",618
"Rio de Janeiro","Inconclusivo / Indeterminado",4
"Santa Catarina","Negativo / Não Detectável","1.580"
"Santa Catarina","Positivo / Detectável",326
"Santa Catarina","Inconclusivo / Indeterminado",2
"Minas Gerais","Negativo / Não Detectável","1.342"
"Minas Gerais","Positivo / Detectável",510
"Minas Gerais","Inconclusivo / Indeterminado",58
Pernambuco,"Negativo / Não Detectável","1.541"
Pernambuco,"Positivo / Detectável",283
Pernambuco,"Inconclusivo / Indeterminado",1
"Mato Grosso do Sul","Negativo / Não Detectável",722
"Mato Grosso do Sul","Positivo / Detectável",367
"Mato Grosso do Sul","Inconclusivo / Indeterminado",7
"Rio Grande do Norte","Negativo / Não Detectável",644
"Rio Grande do Norte","Positivo / Detectável",200
"Espírito Santo","Negativo / Não Detectável",604
"Espírito Santo","Positivo / Detectável",221
"Espírito Santo","Inconclusivo / Indeterminado",4
"Rondônia","Negativo / Não Detectável",453
"Rondônia","Positivo / Detectável",225
"Rondônia","Inconclusivo / Indeterminado",3
Sergipe,"Negativo / Não Detectável",467
Sergipe,"Positivo / Detectável",185
"Goiás","Negativo / Não Detectável",362
"Goiás","Positivo / Detectável",220
Tocantins,"Positivo / Detectável",211
Tocantins,"Negativo / Não Detectável",175
"Piauí","Negativo / Não Detectável",191
"Piauí","Positivo / Detectável",99
"Pará","Negativo / Não Detectável",203
"Pará","Positivo / Detectável",55
"Paraíba","Negativo / Não Detectável",163
"Paraíba","Positivo / Detectável",54
Amazonas,"Negativo / Não Detectável",148
Amazonas,"Positivo / Detectável",67
Amazonas,"Inconclusivo / Indeterminado",1
"Maranhão","Negativo / Não Detectável",161
"Maranhão","Positivo / Detectável",25
Acre,"Negativo / Não Detectável",147
Acre,"Positivo / Detectável",24
Alagoas,"Negativo / Não Detectável",100
Alagoas,"Positivo / Detectável",11
"Mato Grosso","Negativo / Não Detectável",72
"Mato Grosso","Positivo / Detectável",39
Roraima,"Negativo / Não Detectável",73
Roraima,"Positivo / Detectável",16
Roraima,"Inconclusivo / Indeterminado",1
"Distrito Federal","Negativo / Não Detectável",17
"Distrito Federal","Positivo / Detectável",6
"Amapá","Negativo / Não Detectável",7
