"UF de residência",Resultados,"Nº de exames realizados"
"Paraná","Negativo / Não Detectável","5.820"
"Paraná","Positivo / Detectável","1.720"
"Paraná","Inconclusivo / Indeterminado",1
"São Paulo","Negativo / Não Detectável","4.710"
"São Paulo","Positivo / Detectável","2.464"
"São Paulo","Inconclusivo / Indeterminado",2
"Ceará","Negativo / Não Detectável","2.872"
"Ceará","Positivo / Detectável",315
"Ceará","Inconclusivo / Indeterminado",3
Bahia,"Negativo / Não Detectável","1.443"
Bahia,"Positivo / Detectável",746
Bahia,"Inconclusivo / Indeterminado",4
"Rio Grande do Sul","Negativo / Não Detectável","1.622"
"Rio Grande do Sul","Positivo / Detectável",480
"Rio Grande do Sul","Inconclusivo / Indeterminado",5
"Rio de Janeiro","Negativo / Não Detectável","1.361"
"Rio de Janeiro","Positivo / Detectável",506
"Rio de Janeiro","Inconclusivo / Indeterminado",4
"Santa Catarina","Negativo / Não Detectável","1.481"
"Santa Catarina","Positivo / Detectável",384
Pernambuco,"Negativo / Não Detectável","1.369"
Pernambuco,"Positivo / Detectável",253
Pernambuco,"Inconclusivo / Indeterminado",6
"Minas Gerais","Negativo / Não Detectável","1.207"
"Minas Gerais","Positivo / Detectável",341
"Minas Gerais","Inconclusivo / Indeterminado",32
"Mato Grosso do Sul","Negativo / Não Detectável",781
"Mato Grosso do Sul","Positivo / Detectável",358
"Mato Grosso do Sul","Inconclusivo / Indeterminado",1
"Rio Grande do Norte","Negativo / Não Detectável",690
"Rio Grande do Norte","Positivo / Detectável",195
"Espírito Santo","Negativo / Não Detectável",607
"Espírito Santo","Positivo / Detectável",257
"Espírito Santo","Inconclusivo / Indeterminado",7
"Rondônia","Negativo / Não Detectável",569
"Rondônia","Positivo / Detectável",257
"Rondônia","Inconclusivo / Indeterminado",4
Sergipe,"Negativo / Não Detectável",508
Sergipe,"Positivo / Detectável",97
Tocantins,"Positivo / Detectável",389
Tocantins,"Negativo / Não Detectável",209
Tocantins,"Inconclusivo / Indeterminado",1
"Goiás","Negativo / Não Detectável",268
"Goiás","Positivo / Detectável",112
"Goiás","Inconclusivo / Indeterminado",1
"Piauí","Negativo / Não Detectável",268
"Piauí","Positivo / Detectável",88
"Pará","Negativo / Não Detectável",202
"Pará","Positivo / Detectável",60
"Maranhão","Negativo / Não Detectável",191
"Maranhão","Positivo / Detectável",21
Amazonas,"Negativo / Não Detectável",149
Amazonas,"Positivo / Detectável",51
"Paraíba","Negativo / Não Detectável",128
"Paraíba","Positivo / Detectável",42
Acre,"Negativo / Não Detectável",106
Acre,"Positivo / Detectável",40
Alagoas,"Negativo / Não Detectável",73
Alagoas,"Positivo / Detectável",12
"Mato Grosso","Negativo / Não Detectável",66
"Mato Grosso","Positivo / Detectável",22
Roraima,"Negativo / Não Detectável",67
Roraima,"Positivo / Detectável",7
"Amapá","Negativo / Não Detectável",14
"Amapá","Positivo / Detectável",1
"Distrito Federal","Negativo / Não Detectável",7
"Distrito Federal","Positivo / Detectável",3
