"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável","1.300"
"São Paulo","Positivo / Detectável",278
"São Paulo","Inconclusivo / Indeterminado",4
"Paraná","Negativo / Não Detectável",612
"Paraná","Positivo / Detectável",84
Bahia,"Negativo / Não Detectável",525
Bahia,"Positivo / Detectável",52
"Minas Gerais","Negativo / Não Detectável",456
"Minas Gerais","Positivo / Detectável",12
"Minas Gerais","Inconclusivo / Indeterminado",5
"Ceará","Negativo / Não Detectável",301
"Ceará","Positivo / Detectável",82
"Ceará","Inconclusivo / Indeterminado",4
"Rio de Janeiro","Negativo / Não Detectável",295
"Rio de Janeiro","Positivo / Detectável",39
"Rio de Janeiro","Inconclusivo / Indeterminado",9
"Rio Grande do Sul","Negativo / Não Detectável",232
"Rio Grande do Sul","Positivo / Detectável",6
"Santa Catarina","Negativo / Não Detectável",167
"Santa Catarina","Positivo / Detectável",18
"Santa Catarina","Inconclusivo / Indeterminado",3
"Rio Grande do Norte","Negativo / Não Detectável",104
"Rio Grande do Norte","Positivo / Detectável",42
"Maranhão","Negativo / Não Detectável",126
"Maranhão","Positivo / Detectável",18
"Pará","Negativo / Não Detectável",121
"Pará","Positivo / Detectável",20
Pernambuco,"Negativo / Não Detectável",116
Pernambuco,"Positivo / Detectável",24
"Goiás","Negativo / Não Detectável",123
"Goiás","Positivo / Detectável",11
"Mato Grosso do Sul","Negativo / Não Detectável",105
"Mato Grosso do Sul","Positivo / Detectável",16
"Mato Grosso do Sul","Inconclusivo / Indeterminado",1
"Piauí","Negativo / Não Detectável",83
"Piauí","Positivo / Detectável",24
"Piauí","Inconclusivo / Indeterminado",1
Amazonas,"Negativo / Não Detectável",77
Amazonas,"Positivo / Detectável",26
Amazonas,"Inconclusivo / Indeterminado",4
"Espírito Santo","Negativo / Não Detectável",87
"Espírito Santo","Positivo / Detectável",16
Alagoas,"Negativo / Não Detectável",72
Alagoas,"Positivo / Detectável",2
"Rondônia","Negativo / Não Detectável",64
"Rondônia","Positivo / Detectável",7
"Amapá","Negativo / Não Detectável",54
"Amapá","Positivo / Detectável",5
Sergipe,"Negativo / Não Detectável",48
Sergipe,"Positivo / Detectável",3
"Mato Grosso","Negativo / Não Detectável",44
"Mato Grosso","Positivo / Detectável",2
"Paraíba","Negativo / Não Detectável",45
"Paraíba","Positivo / Detectável",1
Tocantins,"Negativo / Não Detectável",32
Roraima,"Negativo / Não Detectável",16
Roraima,"Positivo / Detectável",1
Acre,"Negativo / Não Detectável",6
