"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável","1.275"
"São Paulo","Positivo / Detectável",559
"São Paulo","Inconclusivo / Indeterminado",5
"Rio de Janeiro","Positivo / Detectável",807
"Rio de Janeiro","Negativo / Não Detectável",401
"Rio de Janeiro","Inconclusivo / Indeterminado",27
Bahia,"Negativo / Não Detectável",953
Bahia,"Positivo / Detectável",188
Bahia,"Inconclusivo / Indeterminado",5
Pernambuco,"Positivo / Detectável",656
Pernambuco,"Negativo / Não Detectável",402
Pernambuco,"Inconclusivo / Indeterminado",5
"Ceará","Positivo / Detectável",542
"Ceará","Negativo / Não Detectável",129
"Ceará","Inconclusivo / Indeterminado",3
"Espírito Santo","Negativo / Não Detectável",363
"Espírito Santo","Positivo / Detectável",169
"Espírito Santo","Inconclusivo / Indeterminado",11
Amazonas,"Negativo / Não Detectável",330
Amazonas,"Positivo / Detectável",191
Amazonas,"Inconclusivo / Indeterminado",7
"Amapá","Negativo / Não Detectável",250
"Amapá","Positivo / Detectável",240
"Amapá","Inconclusivo / Indeterminado",1
"Paraná","Negativo / Não Detectável",459
"Paraná","Positivo / Detectável",30
"Santa Catarina","Negativo / Não Detectável",393
"Santa Catarina","Positivo / Detectável",87
"Pará","Positivo / Detectável",322
"Pará","Negativo / Não Detectável",103
"Pará","Inconclusivo / Indeterminado",21
"Minas Gerais","Negativo / Não Detectável",345
"Minas Gerais","Positivo / Detectável",34
"Minas Gerais","Inconclusivo / Indeterminado",5
Sergipe,"Negativo / Não Detectável",234
Sergipe,"Positivo / Detectável",110
Alagoas,"Positivo / Detectável",219
Alagoas,"Negativo / Não Detectável",77
Alagoas,"Inconclusivo / Indeterminado",3
"Maranhão","Positivo / Detectável",180
"Maranhão","Negativo / Não Detectável",107
"Rio Grande do Sul","Negativo / Não Detectável",215
"Rio Grande do Sul","Positivo / Detectável",62
"Rondônia","Negativo / Não Detectável",183
"Rondônia","Positivo / Detectável",71
"Mato Grosso do Sul","Negativo / Não Detectável",244
"Mato Grosso do Sul","Positivo / Detectável",4
"Piauí","Negativo / Não Detectável",156
"Piauí","Positivo / Detectável",45
"Paraíba","Negativo / Não Detectável",119
"Paraíba","Positivo / Detectável",79
"Rio Grande do Norte","Negativo / Não Detectável",95
"Rio Grande do Norte","Positivo / Detectável",52
"Goiás","Negativo / Não Detectável",116
"Goiás","Positivo / Detectável",25
Acre,"Negativo / Não Detectável",59
Acre,"Positivo / Detectável",47
Roraima,"Positivo / Detectável",56
Roraima,"Negativo / Não Detectável",13
"Mato Grosso","Negativo / Não Detectável",39
"Mato Grosso","Positivo / Detectável",3
Tocantins,"Negativo / Não Detectável",19
Tocantins,"Positivo / Detectável",8
"Distrito Federal","Negativo / Não Detectável",3
"Distrito Federal","Positivo / Detectável",1
