"UF de residência",Resultados,"Nº de exames realizados"
"Paraná","Negativo / Não Detectável","3.016"
"Paraná","Positivo / Detectável",809
"Paraná","Inconclusivo / Indeterminado",2
"São Paulo","Negativo / Não Detectável","2.063"
"São Paulo","Positivo / Detectável","1.343"
"São Paulo","Inconclusivo / Indeterminado",14
"Minas Gerais","Negativo / Não Detectável","1.248"
"Minas Gerais","Positivo / Detectável",212
"Minas Gerais","Inconclusivo / Indeterminado",11
Bahia,"Negativo / Não Detectável",742
Bahia,"Positivo / Detectável",336
Bahia,"Inconclusivo / Indeterminado",13
"Rio Grande do Sul","Negativo / Não Detectável",510
"Rio Grande do Sul","Positivo / Detectável",239
"Rio Grande do Sul","Inconclusivo / Indeterminado",4
"Santa Catarina","Negativo / Não Detectável",400
"Santa Catarina","Positivo / Detectável",301
"Mato Grosso do Sul","Negativo / Não Detectável",433
"Mato Grosso do Sul","Positivo / Detectável",186
Pernambuco,"Negativo / Não Detectável",264
Pernambuco,"Positivo / Detectável",197
Pernambuco,"Inconclusivo / Indeterminado",19
"Espírito Santo","Negativo / Não Detectável",220
"Espírito Santo","Positivo / Detectável",198
"Espírito Santo","Inconclusivo / Indeterminado",15
"Ceará","Negativo / Não Detectável",281
"Ceará","Positivo / Detectável",143
"Ceará","Inconclusivo / Indeterminado",1
Sergipe,"Positivo / Detectável",256
Sergipe,"Negativo / Não Detectável",112
"Rio de Janeiro","Negativo / Não Detectável",232
"Rio de Janeiro","Positivo / Detectável",114
"Rio de Janeiro","Inconclusivo / Indeterminado",2
"Rondônia","Negativo / Não Detectável",175
"Rondônia","Positivo / Detectável",97
"Rondônia","Inconclusivo / Indeterminado",3
Tocantins,"Positivo / Detectável",177
Tocantins,"Negativo / Não Detectável",95
"Pará","Negativo / Não Detectável",177
"Pará","Positivo / Detectável",64
"Rio Grande do Norte","Negativo / Não Detectável",126
"Rio Grande do Norte","Positivo / Detectável",78
"Rio Grande do Norte","Inconclusivo / Indeterminado",1
"Goiás","Positivo / Detectável",92
"Goiás","Negativo / Não Detectável",66
"Piauí","Positivo / Detectável",72
"Piauí","Negativo / Não Detectável",67
Acre,"Negativo / Não Detectável",77
Acre,"Positivo / Detectável",45
"Paraíba","Negativo / Não Detectável",64
"Paraíba","Positivo / Detectável",29
Alagoas,"Negativo / Não Detectável",47
Alagoas,"Positivo / Detectável",18
Roraima,"Negativo / Não Detectável",29
Roraima,"Positivo / Detectável",15
"Maranhão","Negativo / Não Detectável",34
"Maranhão","Positivo / Detectável",6
"Amapá","Negativo / Não Detectável",20
"Amapá","Positivo / Detectável",9
Amazonas,"Negativo / Não Detectável",10
Amazonas,"Positivo / Detectável",1
"Mato Grosso","Negativo / Não Detectável",6
"Mato Grosso","Positivo / Detectável",2
"Distrito Federal","Negativo / Não Detectável",4
"Distrito Federal","Positivo / Detectável",1
