"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável","1.294"
"São Paulo","Positivo / Detectável",506
"São Paulo","Inconclusivo / Indeterminado",13
Bahia,"Negativo / Não Detectável",900
Bahia,"Positivo / Detectável",468
Bahia,"Inconclusivo / Indeterminado",16
"Rio de Janeiro","Negativo / Não Detectável",573
"Rio de Janeiro","Positivo / Detectável",494
"Rio de Janeiro","Inconclusivo / Indeterminado",15
"Paraná","Negativo / Não Detectável",907
"Paraná","Positivo / Detectável",160
"Paraná","Inconclusivo / Indeterminado",8
Pernambuco,"Negativo / Não Detectável",526
Pernambuco,"Positivo / Detectável",458
Pernambuco,"Inconclusivo / Indeterminado",58
"Espírito Santo","Positivo / Detectável",496
"Espírito Santo","Negativo / Não Detectável",377
"Espírito Santo","Inconclusivo / Indeterminado",5
"Ceará","Positivo / Detectável",467
"Ceará","Negativo / Não Detectável",297
"Ceará","Inconclusivo / Indeterminado",2
"Santa Catarina","Negativo / Não Detectável",534
"Santa Catarina","Positivo / Detectável",205
Sergipe,"Negativo / Não Detectável",393
Sergipe,"Positivo / Detectável",320
"Mato Grosso do Sul","Negativo / Não Detectável",480
"Mato Grosso do Sul","Positivo / Detectável",59
"Mato Grosso do Sul","Inconclusivo / Indeterminado",4
Tocantins,"Negativo / Não Detectável",341
Tocantins,"Positivo / Detectável",170
"Minas Gerais","Negativo / Não Detectável",413
"Minas Gerais","Positivo / Detectável",69
"Minas Gerais","Inconclusivo / Indeterminado",7
"Rondônia","Negativo / Não Detectável",265
"Rondônia","Positivo / Detectável",161
"Rondônia","Inconclusivo / Indeterminado",39
Amazonas,"Negativo / Não Detectável",256
Amazonas,"Positivo / Detectável",197
Amazonas,"Inconclusivo / Indeterminado",1
"Rio Grande do Sul","Negativo / Não Detectável",362
"Rio Grande do Sul","Positivo / Detectável",64
"Rio Grande do Sul","Inconclusivo / Indeterminado",3
"Amapá","Positivo / Detectável",274
"Amapá","Negativo / Não Detectável",115
"Amapá","Inconclusivo / Indeterminado",1
"Rio Grande do Norte","Positivo / Detectável",161
"Rio Grande do Norte","Negativo / Não Detectável",150
"Rio Grande do Norte","Inconclusivo / Indeterminado",1
"Pará","Positivo / Detectável",159
"Pará","Negativo / Não Detectável",136
"Mato Grosso","Negativo / Não Detectável",220
"Mato Grosso","Positivo / Detectável",69
"Mato Grosso","Inconclusivo / Indeterminado",1
"Piauí","Negativo / Não Detectável",205
"Piauí","Positivo / Detectável",85
Acre,"Positivo / Detectável",210
Acre,"Negativo / Não Detectável",77
Acre,"Inconclusivo / Indeterminado",2
"Paraíba","Negativo / Não Detectável",144
"Paraíba","Positivo / Detectável",134
"Paraíba","Inconclusivo / Indeterminado",1
"Maranhão","Negativo / Não Detectável",130
"Maranhão","Positivo / Detectável",130
Roraima,"Positivo / Detectável",131
Roraima,"Negativo / Não Detectável",76
"Goiás","Negativo / Não Detectável",135
"Goiás","Positivo / Detectável",37
Alagoas,"Positivo / Detectável",121
Alagoas,"Negativo / Não Detectável",44
"Distrito Federal","Negativo / Não Detectável",1
"Distrito Federal","Positivo / Detectável",1
