"UF de residência",Resultados,"Nº de exames realizados"
Bahia,"Negativo / Não Detectável","1.229"
Bahia,"Positivo / Detectável",341
Bahia,"Inconclusivo / Indeterminado",41
"São Paulo","Negativo / Não Detectável",995
"São Paulo","Positivo / Detectável",408
"São Paulo","Inconclusivo / Indeterminado",12
"Rio de Janeiro","Positivo / Detectável",553
"Rio de Janeiro","Negativo / Não Detectável",487
"Rio de Janeiro","Inconclusivo / Indeterminado",25
"Ceará","Positivo / Detectável",616
"Ceará","Negativo / Não Detectável",399
"Ceará","Inconclusivo / Indeterminado",1
Pernambuco,"Positivo / Detectável",566
Pernambuco,"Negativo / Não Detectável",404
Pernambuco,"Inconclusivo / Indeterminado",4
"Paraná","Negativo / Não Detectável",717
"Paraná","Positivo / Detectável",57
"Paraná","Inconclusivo / Indeterminado",1
"Espírito Santo","Negativo / Não Detectável",386
"Espírito Santo","Positivo / Detectável",355
"Espírito Santo","Inconclusivo / Indeterminado",18
Sergipe,"Negativo / Não Detectável",414
Sergipe,"Positivo / Detectável",290
"Santa Catarina","Negativo / Não Detectável",484
"Santa Catarina","Positivo / Detectável",94
"Santa Catarina","Inconclusivo / Indeterminado",1
Amazonas,"Positivo / Detectável",304
Amazonas,"Negativo / Não Detectável",252
Amazonas,"Inconclusivo / Indeterminado",6
"Amapá","Positivo / Detectável",462
"Amapá","Negativo / Não Detectável",82
"Minas Gerais","Negativo / Não Detectável",361
"Minas Gerais","Positivo / Detectável",47
"Minas Gerais","Inconclusivo / Indeterminado",4
Alagoas,"Positivo / Detectável",300
Alagoas,"Negativo / Não Detectável",82
"Rondônia","Negativo / Não Detectável",220
"Rondônia","Positivo / Detectável",134
"Rondônia","Inconclusivo / Indeterminado",18
"Paraíba","Positivo / Detectável",194
"Paraíba","Negativo / Não Detectável",172
Acre,"Positivo / Detectável",215
Acre,"Negativo / Não Detectável",124
"Rio Grande do Sul","Negativo / Não Detectável",266
"Rio Grande do Sul","Positivo / Detectável",47
Tocantins,"Negativo / Não Detectável",240
Tocantins,"Positivo / Detectável",73
"Mato Grosso do Sul","Negativo / Não Detectável",285
"Mato Grosso do Sul","Positivo / Detectável",23
"Pará","Positivo / Detectável",207
"Pará","Negativo / Não Detectável",100
"Pará","Inconclusivo / Indeterminado",1
"Maranhão","Positivo / Detectável",160
"Maranhão","Negativo / Não Detectável",144
"Rio Grande do Norte","Positivo / Detectável",145
"Rio Grande do Norte","Negativo / Não Detectável",119
"Rio Grande do Norte","Inconclusivo / Indeterminado",1
"Piauí","Negativo / Não Detectável",120
"Piauí","Positivo / Detectável",58
"Piauí","Inconclusivo / Indeterminado",6
"Mato Grosso","Negativo / Não Detectável",131
"Mato Grosso","Positivo / Detectável",38
"Goiás","Negativo / Não Detectável",135
"Goiás","Positivo / Detectável",18
Roraima,"Positivo / Detectável",92
Roraima,"Negativo / Não Detectável",18
"Distrito Federal","Negativo / Não Detectável",1
"Distrito Federal","Positivo / Detectável",1
