"UF de residência",Resultados,"Nº de exames realizados"
"Paraná","Negativo / Não Detectável","5.279"
"Paraná","Positivo / Detectável","1.519"
"Paraná","Inconclusivo / Indeterminado",4
"São Paulo","Negativo / Não Detectável","3.921"
"São Paulo","Positivo / Detectável","1.980"
"São Paulo","Inconclusivo / Indeterminado",20
Bahia,"Negativo / Não Detectável","2.597"
Bahia,"Positivo / Detectável",820
Bahia,"Inconclusivo / Indeterminado",2
Pernambuco,"Negativo / Não Detectável","1.703"
Pernambuco,"Positivo / Detectável",310
Pernambuco,"Inconclusivo / Indeterminado",2
"Rio Grande do Sul","Negativo / Não Detectável","1.459"
"Rio Grande do Sul","Positivo / Detectável",514
"Rio Grande do Sul","Inconclusivo / Indeterminado",7
"Ceará","Negativo / Não Detectável","1.448"
"Ceará","Positivo / Detectável",320
"Santa Catarina","Negativo / Não Detectável","1.312"
"Santa Catarina","Positivo / Detectável",400
"Santa Catarina","Inconclusivo / Indeterminado",2
"Minas Gerais","Negativo / Não Detectável","1.104"
"Minas Gerais","Positivo / Detectável",419
"Minas Gerais","Inconclusivo / Indeterminado",48
"Rio de Janeiro","Negativo / Não Detectável","1.155"
"Rio de Janeiro","Positivo / Detectável",293
"Rio de Janeiro","Inconclusivo / Indeterminado",4
Sergipe,"Negativo / Não Detectável","1.129"
Sergipe,"Positivo / Detectável",120
"Mato Grosso do Sul","Negativo / Não Detectável",690
"Mato Grosso do Sul","Positivo / Detectável",378
"Mato Grosso do Sul","Inconclusivo / Indeterminado",3
"Espírito Santo","Negativo / Não Detectável",780
"Espírito Santo","Positivo / Detectável",262
"Espírito Santo","Inconclusivo / Indeterminado",6
Tocantins,"Negativo / Não Detectável",498
Tocantins,"Positivo / Detectável",472
"Rio Grande do Norte","Negativo / Não Detectável",588
"Rio Grande do Norte","Positivo / Detectável",152
"Rondônia","Negativo / Não Detectável",450
"Rondônia","Positivo / Detectável",282
"Rondônia","Inconclusivo / Indeterminado",5
"Pará","Negativo / Não Detectável",301
"Pará","Positivo / Detectável",40
"Piauí","Negativo / Não Detectável",212
"Piauí","Positivo / Detectável",106
"Goiás","Negativo / Não Detectável",147
"Goiás","Positivo / Detectável",84
"Paraíba","Negativo / Não Detectável",184
"Paraíba","Positivo / Detectável",42
"Maranhão","Negativo / Não Detectável",181
"Maranhão","Positivo / Detectável",28
"Mato Grosso","Negativo / Não Detectável",112
"Mato Grosso","Positivo / Detectável",31
Amazonas,"Negativo / Não Detectável",89
Amazonas,"Positivo / Detectável",35
Acre,"Negativo / Não Detectável",85
Acre,"Positivo / Detectável",24
Alagoas,"Negativo / Não Detectável",100
Alagoas,"Positivo / Detectável",8
"Amapá","Negativo / Não Detectável",70
"Amapá","Positivo / Detectável",6
Roraima,"Negativo / Não Detectável",63
Roraima,"Positivo / Detectável",13
"Distrito Federal","Negativo / Não Detectável",5
"Distrito Federal","Positivo / Detectável",4
