"UF de residência",Resultados,"Nº de exames realizados"
"Paraná","Negativo / Não Detectável","3.127"
"Paraná","Positivo / Detectável",700
"Paraná","Inconclusivo / Indeterminado",8
"Ceará","Negativo / Não Detectável","1.358"
"Ceará","Positivo / Detectável",239
"Ceará","Inconclusivo / Indeterminado",1
"Rio Grande do Sul","Negativo / Não Detectável","1.097"
"Rio Grande do Sul","Positivo / Detectável",252
"Rio Grande do Sul","Inconclusivo / Indeterminado",8
"São Paulo","Negativo / Não Detectável","1.019"
"São Paulo","Positivo / Detectável",269
"São Paulo","Inconclusivo / Indeterminado",3
"Rio de Janeiro","Negativo / Não Detectável",896
"Rio de Janeiro","Positivo / Detectável",244
"Rio de Janeiro","Inconclusivo / Indeterminado",39
"Minas Gerais","Negativo / Não Detectável",783
"Minas Gerais","Positivo / Detectável",237
"Minas Gerais","Inconclusivo / Indeterminado",4
Bahia,"Negativo / Não Detectável",594
Bahia,"Positivo / Detectável",313
Pernambuco,"Negativo / Não Detectável",681
Pernambuco,"Positivo / Detectável",159
"Mato Grosso do Sul","Negativo / Não Detectável",617
"Mato Grosso do Sul","Positivo / Detectável",158
"Mato Grosso do Sul","Inconclusivo / Indeterminado",1
Sergipe,"Positivo / Detectável",456
Sergipe,"Negativo / Não Detectável",251
"Rio Grande do Norte","Negativo / Não Detectável",454
"Rio Grande do Norte","Positivo / Detectável",88
"Rondônia","Negativo / Não Detectável",191
"Rondônia","Positivo / Detectável",121
"Rondônia","Inconclusivo / Indeterminado",7
"Paraíba","Negativo / Não Detectável",230
"Paraíba","Positivo / Detectável",63
Tocantins,"Negativo / Não Detectável",205
Tocantins,"Positivo / Detectável",64
"Santa Catarina","Negativo / Não Detectável",146
"Santa Catarina","Positivo / Detectável",77
"Goiás","Negativo / Não Detectável",154
"Goiás","Positivo / Detectável",62
"Pará","Negativo / Não Detectável",110
"Pará","Positivo / Detectável",73
"Pará","Inconclusivo / Indeterminado",1
Acre,"Negativo / Não Detectável",70
Acre,"Positivo / Detectável",35
"Maranhão","Negativo / Não Detectável",71
"Maranhão","Positivo / Detectável",22
Alagoas,"Negativo / Não Detectável",71
Alagoas,"Positivo / Detectável",4
Amazonas,"Negativo / Não Detectável",38
Amazonas,"Positivo / Detectável",22
Amazonas,"Inconclusivo / Indeterminado",1
Roraima,"Positivo / Detectável",28
Roraima,"Negativo / Não Detectável",23
"Mato Grosso","Negativo / Não Detectável",10
"Mato Grosso","Positivo / Detectável",2
"Piauí","Negativo / Não Detectável",9
"Distrito Federal","Negativo / Não Detectável",4
"Distrito Federal","Positivo / Detectável",4
"Espírito Santo","Negativo / Não Detectável",4
"Espírito Santo","Positivo / Detectável",1
"Amapá","Positivo / Detectável",1
