"UF de residência",Resultados,"Nº de exames realizados"
"Paraná","Negativo / Não Detectável","5.364"
"Paraná","Positivo / Detectável","1.308"
"São Paulo","Negativo / Não Detectável","4.143"
"São Paulo","Positivo / Detectável","1.904"
"São Paulo","Inconclusivo / Indeterminado",34
"Rio Grande do Sul","Negativo / Não Detectável","1.886"
"Rio Grande do Sul","Positivo / Detectável",472
"Rio Grande do Sul","Inconclusivo / Indeterminado",9
Bahia,"Negativo / Não Detectável","1.581"
Bahia,"Positivo / Detectável",780
Bahia,"Inconclusivo / Indeterminado",48
"Ceará","Negativo / Não Detectável","1.981"
"Ceará","Positivo / Detectável",400
Pernambuco,"Negativo / Não Detectável","1.965"
Pernambuco,"Positivo / Detectável",239
Pernambuco,"Inconclusivo / Indeterminado",1
"Santa Catarina","Negativo / Não Detectável","1.576"
"Santa Catarina","Positivo / Detectável",270
"Santa Catarina","Inconclusivo / Indeterminado",10
"Rio de Janeiro","Negativo / Não Detectável","1.113"
"Rio de Janeiro","Positivo / Detectável",393
"Rio de Janeiro","Inconclusivo / Indeterminado",17
"Minas Gerais","Negativo / Não Detectável","1.062"
"Minas Gerais","Positivo / Detectável",377
"Minas Gerais","Inconclusivo / Indeterminado",3
"Espírito Santo","Negativo / Não Detectável",917
"Espírito Santo","Positivo / Detectável",388
"Espírito Santo","Inconclusivo / Indeterminado",2
"Mato Grosso do Sul","Negativo / Não Detectável",838
"Mato Grosso do Sul","Positivo / Detectável",289
"Mato Grosso do Sul","Inconclusivo / Indeterminado",3
"Piauí","Negativo / Não Detectável",577
"Piauí","Positivo / Detectável",167
"Rio Grande do Norte","Negativo / Não Detectável",563
"Rio Grande do Norte","Positivo / Detectável",103
Sergipe,"Negativo / Não Detectável",534
Sergipe,"Positivo / Detectável",104
"Rondônia","Negativo / Não Detectável",487
"Rondônia","Positivo / Detectável",143
"Rondônia","Inconclusivo / Indeterminado",5
"Goiás","Negativo / Não Detectável",344
"Goiás","Positivo / Detectável",164
Tocantins,"Positivo / Detectável",229
Tocantins,"Negativo / Não Detectável",219
"Paraíba","Negativo / Não Detectável",251
"Paraíba","Positivo / Detectável",75
"Maranhão","Negativo / Não Detectável",232
"Maranhão","Positivo / Detectável",19
"Pará","Negativo / Não Detectável",203
"Pará","Positivo / Detectável",36
"Pará","Inconclusivo / Indeterminado",2
"Mato Grosso","Negativo / Não Detectável",153
"Mato Grosso","Positivo / Detectável",71
Amazonas,"Negativo / Não Detectável",157
Amazonas,"Positivo / Detectável",53
Acre,"Negativo / Não Detectável",116
Acre,"Positivo / Detectável",26
Alagoas,"Negativo / Não Detectável",95
Alagoas,"Positivo / Detectável",5
Roraima,"Negativo / Não Detectável",46
Roraima,"Positivo / Detectável",24
"Distrito Federal","Negativo / Não Detectável",24
"Distrito Federal","Positivo / Detectável",1
