"UF de residência",Resultados,"Nº de exames realizados"
"Paraná","Negativo / Não Detectável","5.597"
"Paraná","Positivo / Detectável","2.063"
"Paraná","Inconclusivo / Indeterminado",25
"São Paulo","Negativo / Não Detectável","4.076"
"São Paulo","Positivo / Detectável","3.243"
"São Paulo","Inconclusivo / Indeterminado",29
Bahia,"Negativo / Não Detectável","1.607"
Bahia,"Positivo / Detectável","1.205"
Bahia,"Inconclusivo / Indeterminado",7
"Ceará","Negativo / Não Detectável","1.468"
"Ceará","Positivo / Detectável",203
"Ceará","Inconclusivo / Indeterminado",2
"Rio de Janeiro","Negativo / Não Detectável","1.260"
"Rio de Janeiro","Positivo / Detectável",355
"Rio de Janeiro","Inconclusivo / Indeterminado",7
"Santa Catarina","Negativo / Não Detectável",864
"Santa Catarina","Positivo / Detectável",732
"Santa Catarina","Inconclusivo / Indeterminado",3
"Minas Gerais","Negativo / Não Detectável","1.052"
"Minas Gerais","Positivo / Detectável",472
"Minas Gerais","Inconclusivo / Indeterminado",32
"Rio Grande do Sul","Negativo / Não Detectável",938
"Rio Grande do Sul","Positivo / Detectável",531
"Rio Grande do Sul","Inconclusivo / Indeterminado",10
Pernambuco,"Negativo / Não Detectável",878
Pernambuco,"Positivo / Detectável",578
Pernambuco,"Inconclusivo / Indeterminado",19
"Espírito Santo","Negativo / Não Detectável",562
"Espírito Santo","Positivo / Detectável",461
"Espírito Santo","Inconclusivo / Indeterminado",29
"Mato Grosso do Sul","Negativo / Não Detectável",740
"Mato Grosso do Sul","Positivo / Detectável",238
"Mato Grosso do Sul","Inconclusivo / Indeterminado",2
Sergipe,"Positivo / Detectável",576
Sergipe,"Negativo / Não Detectável",395
"Rio Grande do Norte","Negativo / Não Detectável",376
"Rio Grande do Norte","Positivo / Detectável",327
"Rio Grande do Norte","Inconclusivo / Indeterminado",1
"Rondônia","Positivo / Detectável",312
"Rondônia","Negativo / Não Detectável",269
"Rondônia","Inconclusivo / Indeterminado",10
Tocantins,"Negativo / Não Detectável",272
Tocantins,"Positivo / Detectável",265
"Pará","Negativo / Não Detectável",276
"Pará","Positivo / Detectável",128
"Piauí","Negativo / Não Detectável",183
"Piauí","Positivo / Detectável",149
"Goiás","Negativo / Não Detectável",164
"Goiás","Positivo / Detectável",111
"Paraíba","Negativo / Não Detectável",161
"Paraíba","Positivo / Detectável",93
Acre,"Negativo / Não Detectável",121
Acre,"Positivo / Detectável",114
"Maranhão","Negativo / Não Detectável",139
"Maranhão","Positivo / Detectável",41
Amazonas,"Negativo / Não Detectável",129
Amazonas,"Positivo / Detectável",44
Roraima,"Negativo / Não Detectável",76
Roraima,"Positivo / Detectável",66
"Amapá","Negativo / Não Detectável",73
"Amapá","Positivo / Detectável",24
Alagoas,"Negativo / Não Detectável",63
Alagoas,"Positivo / Detectável",27
"Distrito Federal","Negativo / Não Detectável",11
"Distrito Federal","Positivo / Detectável",6
"Mato Grosso","Negativo / Não Detectável",7
"Mato Grosso","Positivo / Detectável",6
