"UF de residência",Resultados,"Nº de exames realizados"
"Paraná","Negativo / Não Detectável","2.470"
"Paraná","Positivo / Detectável",943
"Paraná","Inconclusivo / Indeterminado",1
"São Paulo","Negativo / Não Detectável","1.760"
"São Paulo","Positivo / Detectável","1.032"
"São Paulo","Inconclusivo / Indeterminado",7
"Ceará","Negativo / Não Detectável","1.617"
"Ceará","Positivo / Detectável",93
"Ceará","Inconclusivo / Indeterminado",1
"Mato Grosso do Sul","Negativo / Não Detectável",469
"Mato Grosso do Sul","Positivo / Detectável",228
"Mato Grosso do Sul","Inconclusivo / Indeterminado",2
"Rio Grande do Sul","Negativo / Não Detectável",448
"Rio Grande do Sul","Positivo / Detectável",216
"Rio Grande do Sul","Inconclusivo / Indeterminado",4
Bahia,"Negativo / Não Detectável",352
Bahia,"Positivo / Detectável",301
Bahia,"Inconclusivo / Indeterminado",1
"Santa Catarina","Negativo / Não Detectável",462
"Santa Catarina","Positivo / Detectável",172
"Minas Gerais","Negativo / Não Detectável",310
"Minas Gerais","Positivo / Detectável",164
"Minas Gerais","Inconclusivo / Indeterminado",11
"Rio de Janeiro","Negativo / Não Detectável",320
"Rio de Janeiro","Positivo / Detectável",153
"Rio de Janeiro","Inconclusivo / Indeterminado",2
"Piauí","Negativo / Não Detectável",255
"Piauí","Positivo / Detectável",138
Pernambuco,"Negativo / Não Detectável",322
Pernambuco,"Positivo / Detectável",57
Pernambuco,"Inconclusivo / Indeterminado",2
"Espírito Santo","Negativo / Não Detectável",271
"Espírito Santo","Positivo / Detectável",90
"Espírito Santo","Inconclusivo / Indeterminado",1
Sergipe,"Negativo / Não Detectável",248
Sergipe,"Positivo / Detectável",26
"Rondônia","Negativo / Não Detectável",161
"Rondônia","Positivo / Detectável",110
Tocantins,"Positivo / Detectável",137
Tocantins,"Negativo / Não Detectável",131
"Pará","Negativo / Não Detectável",170
"Pará","Positivo / Detectável",23
"Pará","Inconclusivo / Indeterminado",2
"Rio Grande do Norte","Negativo / Não Detectável",129
"Rio Grande do Norte","Positivo / Detectável",40
"Goiás","Negativo / Não Detectável",64
"Goiás","Positivo / Detectável",41
Alagoas,"Negativo / Não Detectável",79
Alagoas,"Positivo / Detectável",7
"Maranhão","Negativo / Não Detectável",64
"Maranhão","Positivo / Detectável",10
"Paraíba","Negativo / Não Detectável",39
"Paraíba","Positivo / Detectável",10
Acre,"Negativo / Não Detectável",35
Acre,"Positivo / Detectável",12
Amazonas,"Negativo / Não Detectável",26
Amazonas,"Positivo / Detectável",14
"Amapá","Negativo / Não Detectável",16
"Amapá","Positivo / Detectável",1
Roraima,"Negativo / Não Detectável",16
Roraima,"Positivo / Detectável",1
"Distrito Federal","Negativo / Não Detectável",5
"Distrito Federal","Positivo / Detectável",2
"Distrito Federal","Inconclusivo / Indeterminado",1
"Mato Grosso","Positivo / Detectável",3
"Mato Grosso","Negativo / Não Detectável",2
