"UF de residência",Resultados,"Nº de exames realizados"
Bahia,"Negativo / Não Detectável",938
Bahia,"Positivo / Detectável",266
Bahia,"Inconclusivo / Indeterminado",38
"São Paulo","Negativo / Não Detectável",905
"São Paulo","Positivo / Detectável",313
"São Paulo","Inconclusivo / Indeterminado",12
"Rio de Janeiro","Positivo / Detectável",604
"Rio de Janeiro","Negativo / Não Detectável",501
"Rio de Janeiro","Inconclusivo / Indeterminado",36
Pernambuco,"Positivo / Detectável",633
Pernambuco,"Negativo / Não Detectável",455
Pernambuco,"Inconclusivo / Indeterminado",6
"Ceará","Positivo / Detectável",583
"Ceará","Negativo / Não Detectável",314
"Espírito Santo","Negativo / Não Detectável",392
"Espírito Santo","Positivo / Detectável",333
"Espírito Santo","Inconclusivo / Indeterminado",16
"Paraná","Negativo / Não Detectável",592
"Paraná","Positivo / Detectável",60
"Paraná","Inconclusivo / Indeterminado",3
Sergipe,"Positivo / Detectável",363
Sergipe,"Negativo / Não Detectável",269
"Amapá","Positivo / Detectável",488
"Amapá","Negativo / Não Detectável",128
"Amapá","Inconclusivo / Indeterminado",12
"Minas Gerais","Negativo / Não Detectável",466
"Minas Gerais","Positivo / Detectável",41
"Minas Gerais","Inconclusivo / Indeterminado",4
Amazonas,"Negativo / Não Detectável",250
Amazonas,"Positivo / Detectável",224
Amazonas,"Inconclusivo / Indeterminado",4
"Santa Catarina","Negativo / Não Detectável",390
"Santa Catarina","Positivo / Detectável",66
"Santa Catarina","Inconclusivo / Indeterminado",1
"Paraíba","Negativo / Não Detectável",241
"Paraíba","Positivo / Detectável",201
Alagoas,"Positivo / Detectável",254
Alagoas,"Negativo / Não Detectável",104
"Rondônia","Negativo / Não Detectável",261
"Rondônia","Positivo / Detectável",91
"Rondônia","Inconclusivo / Indeterminado",2
"Maranhão","Positivo / Detectável",176
"Maranhão","Negativo / Não Detectável",159
"Maranhão","Inconclusivo / Indeterminado",1
"Pará","Positivo / Detectável",244
"Pará","Negativo / Não Detectável",84
"Rio Grande do Norte","Positivo / Detectável",114
"Rio Grande do Norte","Negativo / Não Detectável",108
"Rio Grande do Norte","Inconclusivo / Indeterminado",1
"Rio Grande do Sul","Negativo / Não Detectável",187
"Rio Grande do Sul","Positivo / Detectável",35
Tocantins,"Negativo / Não Detectável",136
Tocantins,"Positivo / Detectável",80
"Mato Grosso do Sul","Negativo / Não Detectável",163
"Mato Grosso do Sul","Positivo / Detectável",19
Acre,"Positivo / Detectável",95
Acre,"Negativo / Não Detectável",81
Acre,"Inconclusivo / Indeterminado",2
"Goiás","Negativo / Não Detectável",131
"Goiás","Positivo / Detectável",33
"Piauí","Negativo / Não Detectável",105
"Piauí","Positivo / Detectável",53
"Piauí","Inconclusivo / Indeterminado",1
"Mato Grosso","Negativo / Não Detectável",111
"Mato Grosso","Positivo / Detectável",25
Roraima,"Positivo / Detectável",37
Roraima,"Negativo / Não Detectável",16
Roraima,"Inconclusivo / Indeterminado",1
"Distrito Federal","Negativo / Não Detectável",1
"Distrito Federal","Positivo / Detectável",1
