"UF de residência",Resultados,"Nº de exames realizados"
Bahia,"Negativo / Não Detectável",532
Bahia,"Positivo / Detectável",327
Bahia,"Inconclusivo / Indeterminado",9
"São Paulo","Negativo / Não Detectável",525
"São Paulo","Positivo / Detectável",294
"São Paulo","Inconclusivo / Indeterminado",3
"Espírito Santo","Positivo / Detectável",313
"Espírito Santo","Negativo / Não Detectável",204
"Espírito Santo","Inconclusivo / Indeterminado",13
"Ceará","Positivo / Detectável",324
"Ceará","Negativo / Não Detectável",160
"Ceará","Inconclusivo / Indeterminado",4
Sergipe,"Negativo / Não Detectável",236
Sergipe,"Positivo / Detectável",222
"Paraná","Negativo / Não Detectável",371
"Paraná","Positivo / Detectável",57
Pernambuco,"Positivo / Detectável",303
Pernambuco,"Negativo / Não Detectável",111
Pernambuco,"Inconclusivo / Indeterminado",9
"Rio de Janeiro","Positivo / Detectável",196
"Rio de Janeiro","Negativo / Não Detectável",187
"Rio de Janeiro","Inconclusivo / Indeterminado",2
"Amapá","Positivo / Detectável",249
"Amapá","Negativo / Não Detectável",67
"Amapá","Inconclusivo / Indeterminado",3
Alagoas,"Positivo / Detectável",222
Alagoas,"Negativo / Não Detectável",60
"Minas Gerais","Negativo / Não Detectável",199
"Minas Gerais","Positivo / Detectável",33
"Minas Gerais","Inconclusivo / Indeterminado",3
"Pará","Positivo / Detectável",132
"Pará","Negativo / Não Detectável",100
Acre,"Positivo / Detectável",193
Acre,"Negativo / Não Detectável",32
Acre,"Inconclusivo / Indeterminado",3
"Rondônia","Negativo / Não Detectável",129
"Rondônia","Positivo / Detectável",79
"Rondônia","Inconclusivo / Indeterminado",5
Tocantins,"Negativo / Não Detectável",136
Tocantins,"Positivo / Detectável",68
"Santa Catarina","Negativo / Não Detectável",139
"Santa Catarina","Positivo / Detectável",58
"Piauí","Negativo / Não Detectável",86
"Piauí","Positivo / Detectável",65
"Piauí","Inconclusivo / Indeterminado",4
"Paraíba","Positivo / Detectável",87
"Paraíba","Negativo / Não Detectável",67
"Rio Grande do Norte","Positivo / Detectável",88
"Rio Grande do Norte","Negativo / Não Detectável",62
"Rio Grande do Sul","Negativo / Não Detectável",118
"Rio Grande do Sul","Positivo / Detectável",11
"Goiás","Negativo / Não Detectável",89
"Goiás","Positivo / Detectável",17
"Maranhão","Positivo / Detectável",70
"Maranhão","Negativo / Não Detectável",34
"Mato Grosso do Sul","Negativo / Não Detectável",79
Roraima,"Positivo / Detectável",68
Roraima,"Negativo / Não Detectável",5
Amazonas,"Positivo / Detectável",2
Amazonas,"Negativo / Não Detectável",1
"Mato Grosso","Positivo / Detectável",1
