"UF de residência",Resultados,"Nº de exames realizados"
"Paraná","Negativo / Não Detectável","2.178"
"Paraná","Positivo / Detectável",732
"São Paulo","Negativo / Não Detectável","1.481"
"São Paulo","Positivo / Detectável",869
"São Paulo","Inconclusivo / Indeterminado",6
"Ceará","Negativo / Não Detectável",866
"Ceará","Positivo / Detectável",126
"Rio Grande do Sul","Negativo / Não Detectável",627
"Rio Grande do Sul","Positivo / Detectável",192
"Rio Grande do Sul","Inconclusivo / Indeterminado",6
Bahia,"Negativo / Não Detectável",358
Bahia,"Positivo / Detectável",202
Bahia,"Inconclusivo / Indeterminado",14
"Espírito Santo","Negativo / Não Detectável",345
"Espírito Santo","Positivo / Detectável",203
"Espírito Santo","Inconclusivo / Indeterminado",1
Pernambuco,"Negativo / Não Detectável",469
Pernambuco,"Positivo / Detectável",46
"Santa Catarina","Negativo / Não Detectável",400
"Santa Catarina","Positivo / Detectável",105
"Santa Catarina","Inconclusivo / Indeterminado",2
"Minas Gerais","Negativo / Não Detectável",365
"Minas Gerais","Positivo / Detectável",130
"Minas Gerais","Inconclusivo / Indeterminado",6
"Mato Grosso do Sul","Negativo / Não Detectável",339
"Mato Grosso do Sul","Positivo / Detectável",119
"Mato Grosso do Sul","Inconclusivo / Indeterminado",1
"Rio de Janeiro","Negativo / Não Detectável",256
"Rio de Janeiro","Positivo / Detectável",149
"Rio de Janeiro","Inconclusivo / Indeterminado",9
"Piauí","Negativo / Não Detectável",248
"Piauí","Positivo / Detectável",127
"Rondônia","Negativo / Não Detectável",167
"Rondônia","Positivo / Detectável",22
"Rondônia","Inconclusivo / Indeterminado",1
Sergipe,"Negativo / Não Detectável",140
Sergipe,"Positivo / Detectável",27
"Rio Grande do Norte","Negativo / Não Detectável",108
"Rio Grande do Norte","Positivo / Detectável",34
Tocantins,"Negativo / Não Detectável",56
Tocantins,"Positivo / Detectável",55
"Goiás","Positivo / Detectável",54
"Goiás","Negativo / Não Detectável",37
"Goiás","Inconclusivo / Indeterminado",1
"Pará","Negativo / Não Detectável",76
"Pará","Positivo / Detectável",13
"Pará","Inconclusivo / Indeterminado",1
Amazonas,"Negativo / Não Detectável",64
Amazonas,"Positivo / Detectável",17
"Maranhão","Negativo / Não Detectável",54
"Maranhão","Positivo / Detectável",13
Acre,"Negativo / Não Detectável",35
Acre,"Positivo / Detectável",5
"Paraíba","Negativo / Não Detectável",21
"Paraíba","Positivo / Detectável",15
Roraima,"Negativo / Não Detectável",16
Roraima,"Positivo / Detectável",9
Alagoas,"Negativo / Não Detectável",18
Alagoas,"Positivo / Detectável",6
"Distrito Federal","Negativo / Não Detectável",3
"Distrito Federal","Positivo / Detectável",2
"Mato Grosso","Negativo / Não Detectável",4
"Mato Grosso","Positivo / Detectável",1
"Amapá","Negativo / Não Detectável",1
"Amapá","Positivo / Detectável",1
