"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável",649
"São Paulo","Positivo / Detectável",83
"Paraná","Negativo / Não Detectável",252
"Paraná","Positivo / Detectável",64
"Paraná","Inconclusivo / Indeterminado",1
"Minas Gerais","Negativo / Não Detectável",252
"Minas Gerais","Positivo / Detectável",25
"Minas Gerais","Inconclusivo / Indeterminado",1
Bahia,"Negativo / Não Detectável",159
Bahia,"Positivo / Detectável",19
"Rio Grande do Sul","Negativo / Não Detectável",73
"Rio Grande do Sul","Positivo / Detectável",5
"Rio de Janeiro","Negativo / Não Detectável",73
"Rio de Janeiro","Positivo / Detectável",2
"Rio de Janeiro","Inconclusivo / Indeterminado",1
Pernambuco,"Negativo / Não Detectável",54
Pernambuco,"Positivo / Detectável",19
"Santa Catarina","Negativo / Não Detectável",43
"Santa Catarina","Positivo / Detectável",17
"Santa Catarina","Inconclusivo / Indeterminado",1
"Espírito Santo","Negativo / Não Detectável",49
"Espírito Santo","Positivo / Detectável",9
"Ceará","Negativo / Não Detectável",29
"Ceará","Positivo / Detectável",25
"Ceará","Inconclusivo / Indeterminado",1
"Goiás","Negativo / Não Detectável",42
"Goiás","Positivo / Detectável",6
Amazonas,"Negativo / Não Detectável",33
Amazonas,"Positivo / Detectável",7
"Mato Grosso do Sul","Negativo / Não Detectável",27
"Mato Grosso do Sul","Positivo / Detectável",11
"Pará","Negativo / Não Detectável",27
"Pará","Positivo / Detectável",6
"Rio Grande do Norte","Negativo / Não Detectável",18
"Rio Grande do Norte","Positivo / Detectável",6
Tocantins,"Negativo / Não Detectável",20
Tocantins,"Positivo / Detectável",1
"Piauí","Negativo / Não Detectável",19
"Piauí","Positivo / Detectável",1
"Maranhão","Negativo / Não Detectável",11
"Maranhão","Positivo / Detectável",5
"Paraíba","Negativo / Não Detectável",14
"Paraíba","Positivo / Detectável",2
Sergipe,"Negativo / Não Detectável",9
Sergipe,"Positivo / Detectável",7
Alagoas,"Negativo / Não Detectável",9
Alagoas,"Positivo / Detectável",1
Acre,"Negativo / Não Detectável",8
Acre,"Positivo / Detectável",1
"Mato Grosso","Negativo / Não Detectável",4
Roraima,"Negativo / Não Detectável",3
Roraima,"Positivo / Detectável",1
"Amapá","Negativo / Não Detectável",1
"Amapá","Positivo / Detectável",1
"Distrito Federal","Negativo / Não Detectável",2
"Rondônia","Negativo / Não Detectável",1
