"UF de residência",Resultados,"Nº de exames realizados"
"Paraná","Negativo / Não Detectável","5.506"
"Paraná","Positivo / Detectável","1.836"
"Paraná","Inconclusivo / Indeterminado",2
"São Paulo","Negativo / Não Detectável","4.642"
"São Paulo","Positivo / Detectável","2.255"
"São Paulo","Inconclusivo / Indeterminado",31
Bahia,"Negativo / Não Detectável","1.705"
Bahia,"Positivo / Detectável",839
Bahia,"Inconclusivo / Indeterminado",2
"Rio Grande do Sul","Negativo / Não Detectável","1.500"
"Rio Grande do Sul","Positivo / Detectável",533
"Rio Grande do Sul","Inconclusivo / Indeterminado",1
"Ceará","Negativo / Não Detectável","1.669"
"Ceará","Positivo / Detectável",364
"Rio de Janeiro","Negativo / Não Detectável","1.204"
"Rio de Janeiro","Positivo / Detectável",505
"Rio de Janeiro","Inconclusivo / Indeterminado",3
Pernambuco,"Negativo / Não Detectável","1.478"
Pernambuco,"Positivo / Detectável",245
Pernambuco,"Inconclusivo / Indeterminado",1
"Santa Catarina","Negativo / Não Detectável","1.359"
"Santa Catarina","Positivo / Detectável",312
"Minas Gerais","Negativo / Não Detectável","1.028"
"Minas Gerais","Positivo / Detectável",507
"Minas Gerais","Inconclusivo / Indeterminado",76
"Mato Grosso do Sul","Negativo / Não Detectável",710
"Mato Grosso do Sul","Positivo / Detectável",373
"Mato Grosso do Sul","Inconclusivo / Indeterminado",2
"Espírito Santo","Negativo / Não Detectável",743
"Espírito Santo","Positivo / Detectável",255
"Espírito Santo","Inconclusivo / Indeterminado",6
Sergipe,"Negativo / Não Detectável",890
Sergipe,"Positivo / Detectável",102
"Rondônia","Negativo / Não Detectável",636
"Rondônia","Positivo / Detectável",238
"Rondônia","Inconclusivo / Indeterminado",2
"Rio Grande do Norte","Negativo / Não Detectável",552
"Rio Grande do Norte","Positivo / Detectável",142
"Rio Grande do Norte","Inconclusivo / Indeterminado",2
Tocantins,"Negativo / Não Detectável",360
Tocantins,"Positivo / Detectável",318
Tocantins,"Inconclusivo / Indeterminado",1
"Goiás","Negativo / Não Detectável",391
"Goiás","Positivo / Detectável",169
"Piauí","Negativo / Não Detectável",264
"Piauí","Positivo / Detectável",96
"Maranhão","Negativo / Não Detectável",235
"Maranhão","Positivo / Detectável",25
Amazonas,"Negativo / Não Detectável",165
Amazonas,"Positivo / Detectável",61
"Paraíba","Negativo / Não Detectável",147
"Paraíba","Positivo / Detectável",75
"Pará","Negativo / Não Detectável",148
"Pará","Positivo / Detectável",65
"Pará","Inconclusivo / Indeterminado",1
Acre,"Negativo / Não Detectável",114
Acre,"Positivo / Detectável",28
Alagoas,"Negativo / Não Detectável",93
Alagoas,"Positivo / Detectável",13
Roraima,"Negativo / Não Detectável",68
Roraima,"Positivo / Detectável",17
"Mato Grosso","Negativo / Não Detectável",55
"Mato Grosso","Positivo / Detectável",25
"Distrito Federal","Negativo / Não Detectável",15
"Distrito Federal","Positivo / Detectável",8
"Amapá","Negativo / Não Detectável",2
"Amapá","Positivo / Detectável",1
