"UF de residência",Resultados,"Nº de exames realizados"
"Paraná","Negativo / Não Detectável","5.169"
"Paraná","Positivo / Detectável","1.629"
"Paraná","Inconclusivo / Indeterminado",1
"São Paulo","Negativo / Não Detectável","4.201"
"São Paulo","Positivo / Detectável","1.990"
"São Paulo","Inconclusivo / Indeterminado",27
Bahia,"Negativo / Não Detectável","1.760"
Bahia,"Positivo / Detectável",855
Bahia,"Inconclusivo / Indeterminado",3
"Rio Grande do Sul","Negativo / Não Detectável","1.456"
"Rio Grande do Sul","Positivo / Detectável",514
"Ceará","Negativo / Não Detectável","1.465"
"Ceará","Positivo / Detectável",326
"Ceará","Inconclusivo / Indeterminado",3
"Rio de Janeiro","Negativo / Não Detectável","1.182"
"Rio de Janeiro","Positivo / Detectável",524
"Rio de Janeiro","Inconclusivo / Indeterminado",3
"Minas Gerais","Negativo / Não Detectável","1.156"
"Minas Gerais","Positivo / Detectável",437
"Minas Gerais","Inconclusivo / Indeterminado",50
Pernambuco,"Negativo / Não Detectável","1.354"
Pernambuco,"Positivo / Detectável",248
Pernambuco,"Inconclusivo / Indeterminado",1
"Santa Catarina","Negativo / Não Detectável","1.250"
"Santa Catarina","Positivo / Detectável",289
"Santa Catarina","Inconclusivo / Indeterminado",1
"Mato Grosso do Sul","Negativo / Não Detectável",716
"Mato Grosso do Sul","Positivo / Detectável",344
"Mato Grosso do Sul","Inconclusivo / Indeterminado",3
"Espírito Santo","Negativo / Não Detectável",632
"Espírito Santo","Positivo / Detectável",241
"Espírito Santo","Inconclusivo / Indeterminado",1
"Rio Grande do Norte","Negativo / Não Detectável",660
"Rio Grande do Norte","Positivo / Detectável",179
"Rio Grande do Norte","Inconclusivo / Indeterminado",1
Tocantins,"Positivo / Detectável",390
Tocantins,"Negativo / Não Detectável",335
"Rondônia","Negativo / Não Detectável",464
"Rondônia","Positivo / Detectável",155
"Rondônia","Inconclusivo / Indeterminado",3
Sergipe,"Negativo / Não Detectável",534
Sergipe,"Positivo / Detectável",81
"Goiás","Negativo / Não Detectável",323
"Goiás","Positivo / Detectável",172
"Piauí","Negativo / Não Detectável",251
"Piauí","Positivo / Detectável",138
"Pará","Negativo / Não Detectável",240
"Pará","Positivo / Detectável",79
"Pará","Inconclusivo / Indeterminado",1
"Maranhão","Negativo / Não Detectável",208
"Maranhão","Positivo / Detectável",30
"Paraíba","Negativo / Não Detectável",173
"Paraíba","Positivo / Detectável",55
Amazonas,"Negativo / Não Detectável",163
Amazonas,"Positivo / Detectável",48
Amazonas,"Inconclusivo / Indeterminado",1
Acre,"Negativo / Não Detectável",118
Acre,"Positivo / Detectável",27
"Mato Grosso","Negativo / Não Detectável",93
"Mato Grosso","Positivo / Detectável",34
Alagoas,"Negativo / Não Detectável",69
Alagoas,"Positivo / Detectável",9
Roraima,"Negativo / Não Detectável",41
Roraima,"Positivo / Detectável",31
"Distrito Federal","Negativo / Não Detectável",14
"Distrito Federal","Positivo / Detectável",3
"Amapá","Negativo / Não Detectável",1
