"UF de residência",Resultados,"Nº de exames realizados"
"Paraná","Negativo / Não Detectável","5.708"
"Paraná","Positivo / Detectável","1.578"
"Paraná","Inconclusivo / Indeterminado",1
"São Paulo","Negativo / Não Detectável","4.387"
"São Paulo","Positivo / Detectável","2.620"
"São Paulo","Inconclusivo / Indeterminado",74
Bahia,"Negativo / Não Detectável","2.004"
Bahia,"Positivo / Detectável",791
Bahia,"Inconclusivo / Indeterminado",23
"Santa Catarina","Negativo / Não Detectável","1.360"
"Santa Catarina","Positivo / Detectável",683
"Santa Catarina","Inconclusivo / Indeterminado",1
"Rio Grande do Sul","Negativo / Não Detectável","1.367"
"Rio Grande do Sul","Positivo / Detectável",608
Pernambuco,"Negativo / Não Detectável","1.440"
Pernambuco,"Positivo / Detectável",460
Pernambuco,"Inconclusivo / Indeterminado",9
"Rio de Janeiro","Negativo / Não Detectável","1.238"
"Rio de Janeiro","Positivo / Detectável",305
"Rio de Janeiro","Inconclusivo / Indeterminado",10
"Minas Gerais","Negativo / Não Detectável",945
"Minas Gerais","Positivo / Detectável",342
"Minas Gerais","Inconclusivo / Indeterminado",21
"Ceará","Negativo / Não Detectável",897
"Ceará","Positivo / Detectável",321
"Mato Grosso do Sul","Negativo / Não Detectável",845
"Mato Grosso do Sul","Positivo / Detectável",352
"Mato Grosso do Sul","Inconclusivo / Indeterminado",2
"Espírito Santo","Negativo / Não Detectável",600
"Espírito Santo","Positivo / Detectável",318
"Espírito Santo","Inconclusivo / Indeterminado",8
"Rio Grande do Norte","Negativo / Não Detectável",551
"Rio Grande do Norte","Positivo / Detectável",272
"Rio Grande do Norte","Inconclusivo / Indeterminado",2
Tocantins,"Positivo / Detectável",506
Tocantins,"Negativo / Não Detectável",260
Sergipe,"Negativo / Não Detectável",565
Sergipe,"Positivo / Detectável",197
"Rondônia","Positivo / Detectável",387
"Rondônia","Negativo / Não Detectável",260
"Rondônia","Inconclusivo / Indeterminado",17
"Goiás","Negativo / Não Detectável",271
"Goiás","Positivo / Detectável",200
"Pará","Negativo / Não Detectável",331
"Pará","Positivo / Detectável",61
"Piauí","Negativo / Não Detectável",157
"Piauí","Positivo / Detectável",71
"Maranhão","Negativo / Não Detectável",186
"Maranhão","Positivo / Detectável",18
"Paraíba","Negativo / Não Detectável",144
"Paraíba","Positivo / Detectável",46
Acre,"Negativo / Não Detectável",118
Acre,"Positivo / Detectável",63
Amazonas,"Negativo / Não Detectável",152
Amazonas,"Positivo / Detectável",23
Alagoas,"Negativo / Não Detectável",75
Alagoas,"Positivo / Detectável",18
Alagoas,"Inconclusivo / Indeterminado",1
Roraima,"Negativo / Não Detectável",75
Roraima,"Positivo / Detectável",16
"Amapá","Negativo / Não Detectável",61
"Amapá","Positivo / Detectável",14
"Distrito Federal","Negativo / Não Detectável",8
"Distrito Federal","Positivo / Detectável",6
"Mato Grosso","Negativo / Não Detectável",12
"Mato Grosso","Positivo / Detectável",2
