"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável","1.223"
"São Paulo","Positivo / Detectável",489
"São Paulo","Inconclusivo / Indeterminado",3
"Rio de Janeiro","Positivo / Detectável",760
"Rio de Janeiro","Negativo / Não Detectável",345
"Rio de Janeiro","Inconclusivo / Indeterminado",39
Pernambuco,"Positivo / Detectável",710
Pernambuco,"Negativo / Não Detectável",429
Pernambuco,"Inconclusivo / Indeterminado",2
Bahia,"Negativo / Não Detectável",858
Bahia,"Positivo / Detectável",172
"Ceará","Positivo / Detectável",699
"Ceará","Negativo / Não Detectável",150
"Ceará","Inconclusivo / Indeterminado",2
"Minas Gerais","Negativo / Não Detectável",490
"Minas Gerais","Positivo / Detectável",23
"Minas Gerais","Inconclusivo / Indeterminado",5
"Espírito Santo","Negativo / Não Detectável",330
"Espírito Santo","Positivo / Detectável",175
"Espírito Santo","Inconclusivo / Indeterminado",3
"Santa Catarina","Negativo / Não Detectável",389
"Santa Catarina","Positivo / Detectável",96
"Santa Catarina","Inconclusivo / Indeterminado",1
Amazonas,"Negativo / Não Detectável",258
Amazonas,"Positivo / Detectável",195
Amazonas,"Inconclusivo / Indeterminado",8
"Pará","Positivo / Detectável",294
"Pará","Negativo / Não Detectável",123
"Pará","Inconclusivo / Indeterminado",22
"Maranhão","Positivo / Detectável",220
"Maranhão","Negativo / Não Detectável",215
"Paraná","Negativo / Não Detectável",392
"Paraná","Positivo / Detectável",38
"Amapá","Positivo / Detectável",306
"Amapá","Negativo / Não Detectável",81
"Amapá","Inconclusivo / Indeterminado",3
Alagoas,"Positivo / Detectável",231
Alagoas,"Negativo / Não Detectável",100
Alagoas,"Inconclusivo / Indeterminado",3
"Rio Grande do Sul","Negativo / Não Detectável",250
"Rio Grande do Sul","Positivo / Detectável",55
Sergipe,"Negativo / Não Detectável",214
Sergipe,"Positivo / Detectável",82
"Mato Grosso do Sul","Negativo / Não Detectável",256
"Mato Grosso do Sul","Positivo / Detectável",7
"Paraíba","Negativo / Não Detectável",147
"Paraíba","Positivo / Detectável",60
"Rio Grande do Norte","Negativo / Não Detectável",112
"Rio Grande do Norte","Positivo / Detectável",70
"Rio Grande do Norte","Inconclusivo / Indeterminado",1
"Piauí","Negativo / Não Detectável",128
"Piauí","Positivo / Detectável",45
"Rondônia","Negativo / Não Detectável",109
"Rondônia","Positivo / Detectável",35
Acre,"Negativo / Não Detectável",76
Acre,"Positivo / Detectável",48
"Goiás","Negativo / Não Detectável",92
"Goiás","Positivo / Detectável",15
"Mato Grosso","Negativo / Não Detectável",57
"Mato Grosso","Positivo / Detectável",9
Roraima,"Positivo / Detectável",58
Roraima,"Negativo / Não Detectável",3
Tocantins,"Negativo / Não Detectável",8
Tocantins,"Positivo / Detectável",5
"Distrito Federal","Positivo / Detectável",2
"Distrito Federal","Negativo / Não Detectável",1
