"UF de residência",Resultados,"Nº de exames realizados"
"Paraná","Negativo / Não Detectável","1.795"
"Paraná","Positivo / Detectável",556
"São Paulo","Negativo / Não Detectável","1.286"
"São Paulo","Positivo / Detectável",608
"São Paulo","Inconclusivo / Indeterminado",6
"Espírito Santo","Negativo / Não Detectável",422
"Espírito Santo","Positivo / Detectável",235
"Espírito Santo","Inconclusivo / Indeterminado",12
"Rio Grande do Sul","Negativo / Não Detectável",415
"Rio Grande do Sul","Positivo / Detectável",193
"Rio Grande do Sul","Inconclusivo / Indeterminado",4
"Ceará","Negativo / Não Detectável",455
"Ceará","Positivo / Detectável",110
"Ceará","Inconclusivo / Indeterminado",1
Pernambuco,"Negativo / Não Detectável",452
Pernambuco,"Positivo / Detectável",85
Pernambuco,"Inconclusivo / Indeterminado",3
"Rio de Janeiro","Negativo / Não Detectável",296
"Rio de Janeiro","Positivo / Detectável",139
"Rio de Janeiro","Inconclusivo / Indeterminado",12
"Mato Grosso do Sul","Negativo / Não Detectável",366
"Mato Grosso do Sul","Positivo / Detectável",91
Bahia,"Negativo / Não Detectável",280
Bahia,"Positivo / Detectável",150
Bahia,"Inconclusivo / Indeterminado",8
"Piauí","Negativo / Não Detectável",306
"Piauí","Positivo / Detectável",115
"Santa Catarina","Negativo / Não Detectável",316
"Santa Catarina","Positivo / Detectável",103
"Minas Gerais","Negativo / Não Detectável",260
"Minas Gerais","Positivo / Detectável",87
"Minas Gerais","Inconclusivo / Indeterminado",5
"Rio Grande do Norte","Negativo / Não Detectável",182
"Rio Grande do Norte","Positivo / Detectável",37
"Pará","Negativo / Não Detectável",171
"Pará","Positivo / Detectável",38
"Pará","Inconclusivo / Indeterminado",2
Sergipe,"Negativo / Não Detectável",120
Sergipe,"Positivo / Detectável",69
"Rondônia","Negativo / Não Detectável",137
"Rondônia","Positivo / Detectável",41
"Goiás","Negativo / Não Detectável",88
"Goiás","Positivo / Detectável",47
Amazonas,"Negativo / Não Detectável",90
Amazonas,"Positivo / Detectável",23
Acre,"Negativo / Não Detectável",46
Acre,"Positivo / Detectável",8
Tocantins,"Negativo / Não Detectável",31
Tocantins,"Positivo / Detectável",20
"Maranhão","Negativo / Não Detectável",43
"Maranhão","Positivo / Detectável",7
"Paraíba","Negativo / Não Detectável",37
"Paraíba","Positivo / Detectável",12
Alagoas,"Negativo / Não Detectável",25
Alagoas,"Positivo / Detectável",2
Roraima,"Positivo / Detectável",13
Roraima,"Negativo / Não Detectável",1
"Mato Grosso","Negativo / Não Detectável",5
"Mato Grosso","Positivo / Detectável",1
"Distrito Federal","Negativo / Não Detectável",2
"Distrito Federal","Positivo / Detectável",1
"Amapá","Negativo / Não Detectável",1
"Amapá","Positivo / Detectável",1
