"UF de residência",Resultados,"Nº de exames realizados"
"Paraná","Negativo / Não Detectável","5.835"
"Paraná","Positivo / Detectável","1.776"
"Paraná","Inconclusivo / Indeterminado",2
"São Paulo","Negativo / Não Detectável","4.531"
"São Paulo","Positivo / Detectável","2.136"
"São Paulo","Inconclusivo / Indeterminado",12
"Ceará","Negativo / Não Detectável","2.076"
"Ceará","Positivo / Detectável",328
"Ceará","Inconclusivo / Indeterminado",3
Bahia,"Negativo / Não Detectável","1.436"
Bahia,"Positivo / Detectável",687
Bahia,"Inconclusivo / Indeterminado",1
"Rio Grande do Sul","Negativo / Não Detectável","1.573"
"Rio Grande do Sul","Positivo / Detectável",494
"Rio Grande do Sul","Inconclusivo / Indeterminado",8
"Santa Catarina","Negativo / Não Detectável","1.345"
"Santa Catarina","Positivo / Detectável",365
"Santa Catarina","Inconclusivo / Indeterminado",2
"Rio de Janeiro","Negativo / Não Detectável","1.083"
"Rio de Janeiro","Positivo / Detectável",442
"Rio de Janeiro","Inconclusivo / Indeterminado",7
Pernambuco,"Negativo / Não Detectável","1.286"
Pernambuco,"Positivo / Detectável",216
Pernambuco,"Inconclusivo / Indeterminado",2
"Minas Gerais","Negativo / Não Detectável",958
"Minas Gerais","Positivo / Detectável",272
"Minas Gerais","Inconclusivo / Indeterminado",29
"Mato Grosso do Sul","Negativo / Não Detectável",762
"Mato Grosso do Sul","Positivo / Detectável",358
"Mato Grosso do Sul","Inconclusivo / Indeterminado",5
"Espírito Santo","Negativo / Não Detectável",709
"Espírito Santo","Positivo / Detectável",258
"Espírito Santo","Inconclusivo / Indeterminado",6
Sergipe,"Negativo / Não Detectável",788
Sergipe,"Positivo / Detectável",136
"Rio Grande do Norte","Negativo / Não Detectável",592
"Rio Grande do Norte","Positivo / Detectável",98
"Rondônia","Negativo / Não Detectável",461
"Rondônia","Positivo / Detectável",218
"Rondônia","Inconclusivo / Indeterminado",2
Tocantins,"Positivo / Detectável",391
Tocantins,"Negativo / Não Detectável",220
"Goiás","Negativo / Não Detectável",218
"Goiás","Positivo / Detectável",94
"Piauí","Negativo / Não Detectável",198
"Piauí","Positivo / Detectável",61
"Pará","Negativo / Não Detectável",185
"Pará","Positivo / Detectável",35
"Maranhão","Negativo / Não Detectável",144
"Maranhão","Positivo / Detectável",29
"Paraíba","Negativo / Não Detectável",129
"Paraíba","Positivo / Detectável",43
Amazonas,"Negativo / Não Detectável",112
Amazonas,"Positivo / Detectável",53
"Mato Grosso","Negativo / Não Detectável",85
"Mato Grosso","Positivo / Detectável",24
Acre,"Negativo / Não Detectável",76
Acre,"Positivo / Detectável",22
Alagoas,"Negativo / Não Detectável",64
Alagoas,"Positivo / Detectável",11
Roraima,"Negativo / Não Detectável",51
Roraima,"Positivo / Detectável",5
"Amapá","Negativo / Não Detectável",14
"Amapá","Positivo / Detectável",2
"Distrito Federal","Negativo / Não Detectável",4
"Distrito Federal","Positivo / Detectável",2
