"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável","5.149"
"São Paulo","Positivo / Detectável","3.659"
"São Paulo","Inconclusivo / Indeterminado",26
"Paraná","Negativo / Não Detectável","6.386"
"Paraná","Positivo / Detectável","2.074"
"Paraná","Inconclusivo / Indeterminado",2
Bahia,"Negativo / Não Detectável","2.386"
Bahia,"Positivo / Detectável",959
Bahia,"Inconclusivo / Indeterminado",8
"Rio Grande do Sul","Negativo / Não Detectável","2.090"
"Rio Grande do Sul","Positivo / Detectável",743
"Rio Grande do Sul","Inconclusivo / Indeterminado",2
"Santa Catarina","Negativo / Não Detectável","1.590"
"Santa Catarina","Positivo / Detectável",760
"Santa Catarina","Inconclusivo / Indeterminado",3
Pernambuco,"Negativo / Não Detectável","1.699"
Pernambuco,"Positivo / Detectável",503
Pernambuco,"Inconclusivo / Indeterminado",4
"Ceará","Negativo / Não Detectável","1.284"
"Ceará","Positivo / Detectável",321
"Minas Gerais","Negativo / Não Detectável","1.146"
"Minas Gerais","Positivo / Detectável",432
"Minas Gerais","Inconclusivo / Indeterminado",12
"Rio de Janeiro","Negativo / Não Detectável","1.117"
"Rio de Janeiro","Positivo / Detectável",386
"Rio de Janeiro","Inconclusivo / Indeterminado",2
"Mato Grosso do Sul","Negativo / Não Detectável","1.002"
"Mato Grosso do Sul","Positivo / Detectável",488
"Mato Grosso do Sul","Inconclusivo / Indeterminado",1
"Espírito Santo","Negativo / Não Detectável",689
"Espírito Santo","Positivo / Detectável",521
"Espírito Santo","Inconclusivo / Indeterminado",10
Tocantins,"Positivo / Detectável",619
Tocantins,"Negativo / Não Detectável",519
Tocantins,"Inconclusivo / Indeterminado",1
Sergipe,"Negativo / Não Detectável",535
Sergipe,"Positivo / Detectável",345
"Rio Grande do Norte","Negativo / Não Detectável",524
"Rio Grande do Norte","Positivo / Detectável",288
"Rondônia","Negativo / Não Detectável",382
"Rondônia","Positivo / Detectável",379
"Rondônia","Inconclusivo / Indeterminado",4
"Goiás","Positivo / Detectável",257
"Goiás","Negativo / Não Detectável",256
"Pará","Negativo / Não Detectável",287
"Pará","Positivo / Detectável",62
"Piauí","Negativo / Não Detectável",215
"Piauí","Positivo / Detectável",101
Acre,"Negativo / Não Detectável",206
Acre,"Positivo / Detectável",104
"Paraíba","Negativo / Não Detectável",196
"Paraíba","Positivo / Detectável",73
"Maranhão","Negativo / Não Detectável",215
"Maranhão","Positivo / Detectável",33
Amazonas,"Negativo / Não Detectável",156
Amazonas,"Positivo / Detectável",68
Amazonas,"Inconclusivo / Indeterminado",1
Roraima,"Negativo / Não Detectável",150
Roraima,"Positivo / Detectável",39
Alagoas,"Negativo / Não Detectável",67
Alagoas,"Positivo / Detectável",11
"Amapá","Negativo / Não Detectável",53
"Amapá","Positivo / Detectável",12
"Amapá","Inconclusivo / Indeterminado",1
"Mato Grosso","Negativo / Não Detectável",18
"Mato Grosso","Positivo / Detectável",11
"Distrito Federal","Negativo / Não Detectável",19
"Distrito Federal","Positivo / Detectável",7
