"UF de residência",Resultados,"Nº de exames realizados"
"Paraná","Negativo / Não Detectável","3.891"
"Paraná","Positivo / Detectável",845
"São Paulo","Negativo / Não Detectável","3.249"
"São Paulo","Positivo / Detectável","1.231"
"São Paulo","Inconclusivo / Indeterminado",6
"Ceará","Negativo / Não Detectável","2.064"
"Ceará","Positivo / Detectável",309
Bahia,"Negativo / Não Detectável","1.456"
Bahia,"Positivo / Detectável",723
Bahia,"Inconclusivo / Indeterminado",48
"Rio Grande do Sul","Negativo / Não Detectável","1.421"
"Rio Grande do Sul","Positivo / Detectável",428
"Rio Grande do Sul","Inconclusivo / Indeterminado",7
Pernambuco,"Negativo / Não Detectável","1.604"
Pernambuco,"Positivo / Detectável",244
"Santa Catarina","Negativo / Não Detectável","1.253"
"Santa Catarina","Positivo / Detectável",473
"Santa Catarina","Inconclusivo / Indeterminado",5
"Rio de Janeiro","Negativo / Não Detectável","1.206"
"Rio de Janeiro","Positivo / Detectável",344
"Rio de Janeiro","Inconclusivo / Indeterminado",25
"Minas Gerais","Negativo / Não Detectável",779
"Minas Gerais","Positivo / Detectável",250
"Minas Gerais","Inconclusivo / Indeterminado",14
Sergipe,"Negativo / Não Detectável",420
Sergipe,"Positivo / Detectável",285
"Mato Grosso do Sul","Negativo / Não Detectável",565
"Mato Grosso do Sul","Positivo / Detectável",136
"Rondônia","Negativo / Não Detectável",434
"Rondônia","Positivo / Detectável",99
"Rondônia","Inconclusivo / Indeterminado",4
"Rio Grande do Norte","Negativo / Não Detectável",467
"Rio Grande do Norte","Positivo / Detectável",66
"Pará","Negativo / Não Detectável",286
"Pará","Positivo / Detectável",79
"Pará","Inconclusivo / Indeterminado",1
Tocantins,"Negativo / Não Detectável",200
Tocantins,"Positivo / Detectável",89
Amazonas,"Negativo / Não Detectável",209
Amazonas,"Positivo / Detectável",65
"Goiás","Negativo / Não Detectável",122
"Goiás","Positivo / Detectável",61
"Goiás","Inconclusivo / Indeterminado",1
"Paraíba","Negativo / Não Detectável",126
"Paraíba","Positivo / Detectável",34
"Mato Grosso","Negativo / Não Detectável",114
"Mato Grosso","Positivo / Detectável",30
"Maranhão","Negativo / Não Detectável",121
"Maranhão","Positivo / Detectável",14
Alagoas,"Negativo / Não Detectável",126
Alagoas,"Positivo / Detectável",6
Roraima,"Positivo / Detectável",62
Roraima,"Negativo / Não Detectável",24
Acre,"Negativo / Não Detectável",50
Acre,"Positivo / Detectável",19
"Espírito Santo","Negativo / Não Detectável",8
"Espírito Santo","Positivo / Detectável",3
"Distrito Federal","Negativo / Não Detectável",7
"Distrito Federal","Positivo / Detectável",3
"Piauí","Negativo / Não Detectável",6
"Piauí","Positivo / Detectável",1
"Amapá","Negativo / Não Detectável",2
"Amapá","Positivo / Detectável",1
