"UF de residência",Resultados,"Nº de exames realizados"
"Paraná","Negativo / Não Detectável","7.279"
"Paraná","Positivo / Detectável","2.398"
"Paraná","Inconclusivo / Indeterminado",26
"São Paulo","Negativo / Não Detectável","5.637"
"São Paulo","Positivo / Detectável","3.924"
"São Paulo","Inconclusivo / Indeterminado",34
Bahia,"Negativo / Não Detectável","2.024"
Bahia,"Positivo / Detectável","1.348"
Bahia,"Inconclusivo / Indeterminado",26
"Santa Catarina","Negativo / Não Detectável","1.321"
"Santa Catarina","Positivo / Detectável","1.065"
"Santa Catarina","Inconclusivo / Indeterminado",12
"Rio Grande do Sul","Negativo / Não Detectável","1.212"
"Rio Grande do Sul","Positivo / Detectável",810
"Rio Grande do Sul","Inconclusivo / Indeterminado",2
Pernambuco,"Negativo / Não Detectável","1.144"
Pernambuco,"Positivo / Detectável",623
Pernambuco,"Inconclusivo / Indeterminado",34
"Ceará","Negativo / Não Detectável","1.415"
"Ceará","Positivo / Detectável",306
"Ceará","Inconclusivo / Indeterminado",12
"Rio de Janeiro","Negativo / Não Detectável","1.102"
"Rio de Janeiro","Positivo / Detectável",382
"Rio de Janeiro","Inconclusivo / Indeterminado",4
"Minas Gerais","Negativo / Não Detectável",920
"Minas Gerais","Positivo / Detectável",466
"Minas Gerais","Inconclusivo / Indeterminado",16
"Mato Grosso do Sul","Negativo / Não Detectável",937
"Mato Grosso do Sul","Positivo / Detectável",459
"Mato Grosso do Sul","Inconclusivo / Indeterminado",2
"Espírito Santo","Negativo / Não Detectável",606
"Espírito Santo","Positivo / Detectável",504
"Espírito Santo","Inconclusivo / Indeterminado",35
Sergipe,"Positivo / Detectável",757
Sergipe,"Negativo / Não Detectável",313
"Rio Grande do Norte","Negativo / Não Detectável",380
"Rio Grande do Norte","Positivo / Detectável",260
"Rio Grande do Norte","Inconclusivo / Indeterminado",1
Tocantins,"Positivo / Detectável",371
Tocantins,"Negativo / Não Detectável",236
"Rondônia","Positivo / Detectável",392
"Rondônia","Negativo / Não Detectável",199
"Rondônia","Inconclusivo / Indeterminado",6
"Goiás","Negativo / Não Detectável",200
"Goiás","Positivo / Detectável",149
"Piauí","Negativo / Não Detectável",176
"Piauí","Positivo / Detectável",145
"Piauí","Inconclusivo / Indeterminado",4
Acre,"Negativo / Não Detectável",144
Acre,"Positivo / Detectável",134
Acre,"Inconclusivo / Indeterminado",26
"Pará","Negativo / Não Detectável",175
"Pará","Positivo / Detectável",111
"Maranhão","Negativo / Não Detectável",181
"Maranhão","Positivo / Detectável",35
"Paraíba","Negativo / Não Detectável",118
"Paraíba","Positivo / Detectável",77
Amazonas,"Negativo / Não Detectável",112
Amazonas,"Positivo / Detectável",82
Roraima,"Negativo / Não Detectável",118
Roraima,"Positivo / Detectável",41
Alagoas,"Negativo / Não Detectável",70
Alagoas,"Positivo / Detectável",35
"Amapá","Negativo / Não Detectável",74
"Amapá","Positivo / Detectável",23
"Distrito Federal","Negativo / Não Detectável",8
"Distrito Federal","Positivo / Detectável",8
"Mato Grosso","Negativo / Não Detectável",5
"Mato Grosso","Positivo / Detectável",3
