"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável","1.389"
"São Paulo","Positivo / Detectável",584
"São Paulo","Inconclusivo / Indeterminado",3
"Rio de Janeiro","Positivo / Detectável",838
"Rio de Janeiro","Negativo / Não Detectável",427
"Rio de Janeiro","Inconclusivo / Indeterminado",53
Pernambuco,"Positivo / Detectável",692
Pernambuco,"Negativo / Não Detectável",417
Pernambuco,"Inconclusivo / Indeterminado",5
Bahia,"Negativo / Não Detectável",726
Bahia,"Positivo / Detectável",180
Bahia,"Inconclusivo / Indeterminado",3
"Ceará","Positivo / Detectável",580
"Ceará","Negativo / Não Detectável",144
"Minas Gerais","Negativo / Não Detectável",599
"Minas Gerais","Positivo / Detectável",34
"Minas Gerais","Inconclusivo / Indeterminado",6
"Santa Catarina","Negativo / Não Detectável",448
"Santa Catarina","Positivo / Detectável",95
"Santa Catarina","Inconclusivo / Indeterminado",1
"Maranhão","Positivo / Detectável",290
"Maranhão","Negativo / Não Detectável",222
"Maranhão","Inconclusivo / Indeterminado",2
"Paraná","Negativo / Não Detectável",438
"Paraná","Positivo / Detectável",59
Amazonas,"Negativo / Não Detectável",239
Amazonas,"Positivo / Detectável",211
Amazonas,"Inconclusivo / Indeterminado",10
"Espírito Santo","Negativo / Não Detectável",309
"Espírito Santo","Positivo / Detectável",144
"Espírito Santo","Inconclusivo / Indeterminado",3
"Pará","Positivo / Detectável",264
"Pará","Negativo / Não Detectável",93
"Pará","Inconclusivo / Indeterminado",17
"Amapá","Positivo / Detectável",279
"Amapá","Negativo / Não Detectável",58
"Amapá","Inconclusivo / Indeterminado",2
"Rio Grande do Sul","Negativo / Não Detectável",270
"Rio Grande do Sul","Positivo / Detectável",65
"Rondônia","Negativo / Não Detectável",225
"Rondônia","Positivo / Detectável",69
"Rondônia","Inconclusivo / Indeterminado",1
Sergipe,"Negativo / Não Detectável",192
Sergipe,"Positivo / Detectável",81
Alagoas,"Positivo / Detectável",185
Alagoas,"Negativo / Não Detectável",80
Alagoas,"Inconclusivo / Indeterminado",4
"Paraíba","Negativo / Não Detectável",131
"Paraíba","Positivo / Detectável",76
"Rio Grande do Norte","Negativo / Não Detectável",111
"Rio Grande do Norte","Positivo / Detectável",59
"Rio Grande do Norte","Inconclusivo / Indeterminado",1
"Mato Grosso do Sul","Negativo / Não Detectável",163
"Mato Grosso do Sul","Positivo / Detectável",4
"Piauí","Negativo / Não Detectável",78
"Piauí","Positivo / Detectável",72
"Piauí","Inconclusivo / Indeterminado",4
"Goiás","Negativo / Não Detectável",119
"Goiás","Positivo / Detectável",15
"Goiás","Inconclusivo / Indeterminado",1
Acre,"Negativo / Não Detectável",95
Acre,"Positivo / Detectável",35
"Mato Grosso","Negativo / Não Detectável",95
"Mato Grosso","Positivo / Detectável",3
Roraima,"Positivo / Detectável",67
Roraima,"Negativo / Não Detectável",4
Tocantins,"Negativo / Não Detectável",19
Tocantins,"Positivo / Detectável",8
