"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável",441
"São Paulo","Positivo / Detectável",256
"São Paulo","Inconclusivo / Indeterminado",1
Bahia,"Negativo / Não Detectável",412
Bahia,"Positivo / Detectável",143
Bahia,"Inconclusivo / Indeterminado",1
"Rio de Janeiro","Positivo / Detectável",190
"Rio de Janeiro","Negativo / Não Detectável",130
"Rio de Janeiro","Inconclusivo / Indeterminado",9
"Ceará","Positivo / Detectável",188
"Ceará","Negativo / Não Detectável",83
"Ceará","Inconclusivo / Indeterminado",6
Pernambuco,"Positivo / Detectável",137
Pernambuco,"Negativo / Não Detectável",128
Pernambuco,"Inconclusivo / Indeterminado",5
"Espírito Santo","Negativo / Não Detectável",178
"Espírito Santo","Positivo / Detectável",86
"Espírito Santo","Inconclusivo / Indeterminado",3
"Rondônia","Negativo / Não Detectável",194
"Rondônia","Positivo / Detectável",41
"Pará","Positivo / Detectável",166
"Pará","Negativo / Não Detectável",47
"Pará","Inconclusivo / Indeterminado",9
Amazonas,"Negativo / Não Detectável",111
Amazonas,"Positivo / Detectável",98
Amazonas,"Inconclusivo / Indeterminado",2
"Minas Gerais","Negativo / Não Detectável",198
"Minas Gerais","Positivo / Detectável",11
"Minas Gerais","Inconclusivo / Indeterminado",1
"Paraná","Negativo / Não Detectável",146
"Paraná","Positivo / Detectável",18
"Santa Catarina","Negativo / Não Detectável",93
"Santa Catarina","Positivo / Detectável",17
"Rio Grande do Sul","Negativo / Não Detectável",86
"Rio Grande do Sul","Positivo / Detectável",23
"Amapá","Positivo / Detectável",60
"Amapá","Negativo / Não Detectável",40
"Piauí","Negativo / Não Detectável",89
"Piauí","Positivo / Detectável",7
Acre,"Negativo / Não Detectável",61
Acre,"Positivo / Detectável",32
"Mato Grosso do Sul","Negativo / Não Detectável",84
"Mato Grosso do Sul","Positivo / Detectável",4
Alagoas,"Positivo / Detectável",47
Alagoas,"Negativo / Não Detectável",29
Alagoas,"Inconclusivo / Indeterminado",6
"Maranhão","Positivo / Detectável",46
"Maranhão","Negativo / Não Detectável",32
Sergipe,"Negativo / Não Detectável",69
Sergipe,"Positivo / Detectável",6
"Goiás","Negativo / Não Detectável",43
"Goiás","Positivo / Detectável",5
"Rio Grande do Norte","Negativo / Não Detectável",24
"Rio Grande do Norte","Positivo / Detectável",20
"Paraíba","Negativo / Não Detectável",29
"Paraíba","Positivo / Detectável",10
Roraima,"Positivo / Detectável",7
Roraima,"Negativo / Não Detectável",3
"Mato Grosso","Negativo / Não Detectável",6
"Mato Grosso","Positivo / Detectável",1
Tocantins,"Negativo / Não Detectável",1
