"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável",624
"São Paulo","Positivo / Detectável",332
"São Paulo","Inconclusivo / Indeterminado",2
"Ceará","Positivo / Detectável",363
"Ceará","Negativo / Não Detectável",77
"Ceará","Inconclusivo / Indeterminado",1
"Rio de Janeiro","Positivo / Detectável",254
"Rio de Janeiro","Negativo / Não Detectável",132
"Rio de Janeiro","Inconclusivo / Indeterminado",7
Bahia,"Negativo / Não Detectável",293
Bahia,"Positivo / Detectável",73
Bahia,"Inconclusivo / Indeterminado",2
Pernambuco,"Positivo / Detectável",230
Pernambuco,"Negativo / Não Detectável",120
Pernambuco,"Inconclusivo / Indeterminado",4
"Pará","Positivo / Detectável",211
"Pará","Negativo / Não Detectável",37
"Pará","Inconclusivo / Indeterminado",13
"Minas Gerais","Negativo / Não Detectável",240
"Minas Gerais","Positivo / Detectável",15
"Espírito Santo","Negativo / Não Detectável",152
"Espírito Santo","Positivo / Detectável",100
"Espírito Santo","Inconclusivo / Indeterminado",2
"Paraná","Negativo / Não Detectável",173
"Paraná","Positivo / Detectável",15
Amazonas,"Positivo / Detectável",97
Amazonas,"Negativo / Não Detectável",80
Amazonas,"Inconclusivo / Indeterminado",6
Alagoas,"Positivo / Detectável",116
Alagoas,"Negativo / Não Detectável",40
Alagoas,"Inconclusivo / Indeterminado",3
"Santa Catarina","Negativo / Não Detectável",111
"Santa Catarina","Positivo / Detectável",36
"Rio Grande do Sul","Negativo / Não Detectável",98
"Rio Grande do Sul","Positivo / Detectável",42
"Amapá","Positivo / Detectável",100
"Amapá","Negativo / Não Detectável",10
"Amapá","Inconclusivo / Indeterminado",1
"Rio Grande do Norte","Negativo / Não Detectável",66
"Rio Grande do Norte","Positivo / Detectável",39
Sergipe,"Negativo / Não Detectável",62
Sergipe,"Positivo / Detectável",33
"Paraíba","Negativo / Não Detectável",49
"Paraíba","Positivo / Detectável",44
"Rondônia","Negativo / Não Detectável",72
"Rondônia","Positivo / Detectável",21
"Maranhão","Positivo / Detectável",73
"Maranhão","Negativo / Não Detectável",16
"Piauí","Negativo / Não Detectável",60
"Piauí","Positivo / Detectável",25
Acre,"Negativo / Não Detectável",46
Acre,"Positivo / Detectável",35
"Mato Grosso do Sul","Negativo / Não Detectável",69
"Goiás","Negativo / Não Detectável",55
"Goiás","Positivo / Detectável",8
Roraima,"Positivo / Detectável",11
Roraima,"Negativo / Não Detectável",4
"Mato Grosso","Negativo / Não Detectável",11
"Mato Grosso","Positivo / Detectável",2
Tocantins,"Positivo / Detectável",7
Tocantins,"Negativo / Não Detectável",5
