"UF de residência",Resultados,"Nº de exames realizados"
"Paraná","Negativo / Não Detectável","1.732"
"Paraná","Positivo / Detectável",828
"Paraná","Inconclusivo / Indeterminado",14
"São Paulo","Negativo / Não Detectável","1.044"
"São Paulo","Positivo / Detectável",882
"São Paulo","Inconclusivo / Indeterminado",13
Bahia,"Negativo / Não Detectável",614
Bahia,"Positivo / Detectável",326
Bahia,"Inconclusivo / Indeterminado",7
"Minas Gerais","Negativo / Não Detectável",389
"Minas Gerais","Positivo / Detectável",249
"Minas Gerais","Inconclusivo / Indeterminado",6
Sergipe,"Positivo / Detectável",412
Sergipe,"Negativo / Não Detectável",133
"Mato Grosso do Sul","Negativo / Não Detectável",391
"Mato Grosso do Sul","Positivo / Detectável",146
"Mato Grosso do Sul","Inconclusivo / Indeterminado",2
"Rio Grande do Sul","Negativo / Não Detectável",332
"Rio Grande do Sul","Positivo / Detectável",199
"Rio Grande do Sul","Inconclusivo / Indeterminado",1
"Espírito Santo","Negativo / Não Detectável",256
"Espírito Santo","Positivo / Detectável",242
"Espírito Santo","Inconclusivo / Indeterminado",2
"Ceará","Negativo / Não Detectável",253
"Ceará","Positivo / Detectável",92
"Ceará","Inconclusivo / Indeterminado",2
"Rio de Janeiro","Negativo / Não Detectável",207
"Rio de Janeiro","Positivo / Detectável",131
"Rio de Janeiro","Inconclusivo / Indeterminado",1
"Santa Catarina","Negativo / Não Detectável",168
"Santa Catarina","Positivo / Detectável",164
"Santa Catarina","Inconclusivo / Indeterminado",2
"Rondônia","Negativo / Não Detectável",157
"Rondônia","Positivo / Detectável",113
"Rondônia","Inconclusivo / Indeterminado",3
Pernambuco,"Negativo / Não Detectável",129
Pernambuco,"Positivo / Detectável",79
Pernambuco,"Inconclusivo / Indeterminado",5
"Goiás","Positivo / Detectável",132
"Goiás","Negativo / Não Detectável",70
"Rio Grande do Norte","Negativo / Não Detectável",95
"Rio Grande do Norte","Positivo / Detectável",75
Tocantins,"Positivo / Detectável",89
Tocantins,"Negativo / Não Detectável",70
"Piauí","Positivo / Detectável",79
"Piauí","Negativo / Não Detectável",77
"Pará","Negativo / Não Detectável",78
"Pará","Positivo / Detectável",44
Acre,"Negativo / Não Detectável",57
Acre,"Positivo / Detectável",54
Acre,"Inconclusivo / Indeterminado",1
"Paraíba","Positivo / Detectável",44
"Paraíba","Negativo / Não Detectável",43
Roraima,"Positivo / Detectável",44
Roraima,"Negativo / Não Detectável",41
"Maranhão","Negativo / Não Detectável",57
"Maranhão","Positivo / Detectável",24
"Amapá","Negativo / Não Detectável",53
"Amapá","Positivo / Detectável",26
Alagoas,"Negativo / Não Detectável",53
Alagoas,"Positivo / Detectável",13
"Mato Grosso","Positivo / Detectável",6
"Mato Grosso","Negativo / Não Detectável",4
"Mato Grosso","Inconclusivo / Indeterminado",1
Amazonas,"Positivo / Detectável",6
Amazonas,"Negativo / Não Detectável",1
"Distrito Federal","Negativo / Não Detectável",3
"Distrito Federal","Positivo / Detectável",2
