"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável","4.000"
"São Paulo","Positivo / Detectável","2.877"
"São Paulo","Inconclusivo / Indeterminado",36
"Paraná","Negativo / Não Detectável","4.636"
"Paraná","Positivo / Detectável","1.780"
"Paraná","Inconclusivo / Indeterminado",32
Bahia,"Negativo / Não Detectável","1.963"
Bahia,"Positivo / Detectável",942
Bahia,"Inconclusivo / Indeterminado",19
"Santa Catarina","Negativo / Não Detectável",713
"Santa Catarina","Positivo / Detectável",628
"Santa Catarina","Inconclusivo / Indeterminado",2
"Rio Grande do Sul","Negativo / Não Detectável",904
"Rio Grande do Sul","Positivo / Detectável",430
"Minas Gerais","Negativo / Não Detectável",864
"Minas Gerais","Positivo / Detectável",428
"Minas Gerais","Inconclusivo / Indeterminado",32
Pernambuco,"Negativo / Não Detectável",735
Pernambuco,"Positivo / Detectável",446
Pernambuco,"Inconclusivo / Indeterminado",31
"Espírito Santo","Negativo / Não Detectável",590
"Espírito Santo","Positivo / Detectável",473
"Espírito Santo","Inconclusivo / Indeterminado",21
Sergipe,"Positivo / Detectável",811
Sergipe,"Negativo / Não Detectável",229
"Rio de Janeiro","Negativo / Não Detectável",758
"Rio de Janeiro","Positivo / Detectável",252
"Rio de Janeiro","Inconclusivo / Indeterminado",7
"Mato Grosso do Sul","Negativo / Não Detectável",709
"Mato Grosso do Sul","Positivo / Detectável",242
"Mato Grosso do Sul","Inconclusivo / Indeterminado",3
"Ceará","Negativo / Não Detectável",517
"Ceará","Positivo / Detectável",259
"Ceará","Inconclusivo / Indeterminado",4
"Rio Grande do Norte","Negativo / Não Detectável",330
"Rio Grande do Norte","Positivo / Detectável",312
Tocantins,"Positivo / Detectável",281
Tocantins,"Negativo / Não Detectável",279
"Rondônia","Negativo / Não Detectável",218
"Rondônia","Positivo / Detectável",218
"Rondônia","Inconclusivo / Indeterminado",9
"Piauí","Negativo / Não Detectável",209
"Piauí","Positivo / Detectável",191
"Pará","Negativo / Não Detectável",210
"Pará","Positivo / Detectável",72
Acre,"Negativo / Não Detectável",168
Acre,"Positivo / Detectável",105
"Maranhão","Negativo / Não Detectável",219
"Maranhão","Positivo / Detectável",53
"Paraíba","Negativo / Não Detectável",161
"Paraíba","Positivo / Detectável",91
"Goiás","Positivo / Detectável",134
"Goiás","Negativo / Não Detectável",117
Roraima,"Negativo / Não Detectável",114
Roraima,"Positivo / Detectável",89
Amazonas,"Negativo / Não Detectável",110
Amazonas,"Positivo / Detectável",55
"Amapá","Negativo / Não Detectável",99
"Amapá","Positivo / Detectável",33
Alagoas,"Negativo / Não Detectável",55
Alagoas,"Positivo / Detectável",42
"Distrito Federal","Negativo / Não Detectável",13
"Distrito Federal","Positivo / Detectável",4
"Mato Grosso","Negativo / Não Detectável",5
"Mato Grosso","Positivo / Detectável",5
