"UF de residência",Resultados,"Nº de exames realizados"
"Paraná","Negativo / Não Detectável","2.507"
"Paraná","Positivo / Detectável",791
"São Paulo","Negativo / Não Detectável","1.819"
"São Paulo","Positivo / Detectável","1.401"
"São Paulo","Inconclusivo / Indeterminado",12
Bahia,"Negativo / Não Detectável",554
Bahia,"Positivo / Detectável",340
Bahia,"Inconclusivo / Indeterminado",1
"Rio Grande do Sul","Negativo / Não Detectável",524
"Rio Grande do Sul","Positivo / Detectável",309
"Rio Grande do Sul","Inconclusivo / Indeterminado",2
"Mato Grosso do Sul","Negativo / Não Detectável",534
"Mato Grosso do Sul","Positivo / Detectável",159
"Santa Catarina","Negativo / Não Detectável",429
"Santa Catarina","Positivo / Detectável",205
"Minas Gerais","Negativo / Não Detectável",385
"Minas Gerais","Positivo / Detectável",195
"Minas Gerais","Inconclusivo / Indeterminado",15
"Ceará","Negativo / Não Detectável",305
"Ceará","Positivo / Detectável",112
"Espírito Santo","Negativo / Não Detectável",206
"Espírito Santo","Positivo / Detectável",165
"Espírito Santo","Inconclusivo / Indeterminado",16
"Rio de Janeiro","Negativo / Não Detectável",216
"Rio de Janeiro","Positivo / Detectável",147
"Rio de Janeiro","Inconclusivo / Indeterminado",3
Pernambuco,"Negativo / Não Detectável",249
Pernambuco,"Positivo / Detectável",94
"Rondônia","Positivo / Detectável",197
"Rondônia","Negativo / Não Detectável",124
"Rondônia","Inconclusivo / Indeterminado",6
Sergipe,"Negativo / Não Detectável",206
Sergipe,"Positivo / Detectável",109
Tocantins,"Positivo / Detectável",161
Tocantins,"Negativo / Não Detectável",133
"Rio Grande do Norte","Negativo / Não Detectável",164
"Rio Grande do Norte","Positivo / Detectável",33
"Pará","Negativo / Não Detectável",137
"Pará","Positivo / Detectável",55
"Piauí","Negativo / Não Detectável",125
"Piauí","Positivo / Detectável",52
"Goiás","Negativo / Não Detectável",86
"Goiás","Positivo / Detectável",78
"Paraíba","Negativo / Não Detectável",67
"Paraíba","Positivo / Detectável",14
Alagoas,"Negativo / Não Detectável",59
Alagoas,"Positivo / Detectável",4
"Maranhão","Negativo / Não Detectável",41
"Maranhão","Positivo / Detectável",8
Acre,"Negativo / Não Detectável",28
Acre,"Positivo / Detectável",6
Roraima,"Negativo / Não Detectável",22
Roraima,"Positivo / Detectável",4
"Amapá","Negativo / Não Detectável",17
"Amapá","Positivo / Detectável",1
Amazonas,"Negativo / Não Detectável",4
Amazonas,"Positivo / Detectável",3
"Distrito Federal","Positivo / Detectável",5
"Distrito Federal","Negativo / Não Detectável",2
"Mato Grosso","Negativo / Não Detectável",6
"Mato Grosso","Positivo / Detectável",1
