"UF de residência",Resultados,"Nº de exames realizados"
"Paraná","Negativo / Não Detectável","2.229"
"Paraná","Positivo / Detectável",768
"Paraná","Inconclusivo / Indeterminado",1
"São Paulo","Negativo / Não Detectável","1.601"
"São Paulo","Positivo / Detectável","1.254"
"São Paulo","Inconclusivo / Indeterminado",7
Bahia,"Negativo / Não Detectável",590
Bahia,"Positivo / Detectável",316
Bahia,"Inconclusivo / Indeterminado",4
"Rio Grande do Sul","Negativo / Não Detectável",483
"Rio Grande do Sul","Positivo / Detectável",288
"Rio Grande do Sul","Inconclusivo / Indeterminado",2
"Santa Catarina","Negativo / Não Detectável",429
"Santa Catarina","Positivo / Detectável",268
"Santa Catarina","Inconclusivo / Indeterminado",2
Pernambuco,"Negativo / Não Detectável",456
Pernambuco,"Positivo / Detectável",112
Pernambuco,"Inconclusivo / Indeterminado",3
"Minas Gerais","Negativo / Não Detectável",326
"Minas Gerais","Positivo / Detectável",172
"Minas Gerais","Inconclusivo / Indeterminado",8
"Mato Grosso do Sul","Negativo / Não Detectável",318
"Mato Grosso do Sul","Positivo / Detectável",167
"Ceará","Negativo / Não Detectável",307
"Ceará","Positivo / Detectável",158
"Espírito Santo","Negativo / Não Detectável",304
"Espírito Santo","Positivo / Detectável",144
"Espírito Santo","Inconclusivo / Indeterminado",8
"Rio de Janeiro","Negativo / Não Detectável",223
"Rio de Janeiro","Positivo / Detectável",144
"Rio de Janeiro","Inconclusivo / Indeterminado",3
Sergipe,"Negativo / Não Detectável",256
Sergipe,"Positivo / Detectável",108
Tocantins,"Positivo / Detectável",195
Tocantins,"Negativo / Não Detectável",105
"Rondônia","Positivo / Detectável",154
"Rondônia","Negativo / Não Detectável",121
"Rondônia","Inconclusivo / Indeterminado",3
"Pará","Negativo / Não Detectável",174
"Pará","Positivo / Detectável",42
"Rio Grande do Norte","Negativo / Não Detectável",104
"Rio Grande do Norte","Positivo / Detectável",86
"Goiás","Positivo / Detectável",76
"Goiás","Negativo / Não Detectável",66
Acre,"Negativo / Não Detectável",87
Acre,"Positivo / Detectável",44
"Piauí","Negativo / Não Detectável",62
"Piauí","Positivo / Detectável",56
Alagoas,"Negativo / Não Detectável",70
Alagoas,"Positivo / Detectável",6
"Paraíba","Negativo / Não Detectável",48
"Paraíba","Positivo / Detectável",19
"Maranhão","Negativo / Não Detectável",45
"Maranhão","Positivo / Detectável",1
Roraima,"Negativo / Não Detectável",34
Roraima,"Positivo / Detectável",9
"Amapá","Negativo / Não Detectável",14
"Amapá","Positivo / Detectável",1
Amazonas,"Negativo / Não Detectável",4
Amazonas,"Positivo / Detectável",3
"Mato Grosso","Negativo / Não Detectável",2
"Mato Grosso","Positivo / Detectável",2
"Distrito Federal","Negativo / Não Detectável",1
"Distrito Federal","Positivo / Detectável",1
