"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável","4.796"
"São Paulo","Positivo / Detectável","3.931"
"São Paulo","Inconclusivo / Indeterminado",33
"Paraná","Negativo / Não Detectável","6.066"
"Paraná","Positivo / Detectável","2.389"
"Paraná","Inconclusivo / Indeterminado",27
Bahia,"Negativo / Não Detectável","1.813"
Bahia,"Positivo / Detectável","1.217"
Bahia,"Inconclusivo / Indeterminado",10
"Rio de Janeiro","Negativo / Não Detectável","1.451"
"Rio de Janeiro","Positivo / Detectável",491
"Rio de Janeiro","Inconclusivo / Indeterminado",14
"Santa Catarina","Negativo / Não Detectável",966
"Santa Catarina","Positivo / Detectável",884
"Santa Catarina","Inconclusivo / Indeterminado",9
"Rio Grande do Sul","Negativo / Não Detectável","1.111"
"Rio Grande do Sul","Positivo / Detectável",572
"Rio Grande do Sul","Inconclusivo / Indeterminado",9
"Minas Gerais","Negativo / Não Detectável","1.038"
"Minas Gerais","Positivo / Detectável",475
"Minas Gerais","Inconclusivo / Indeterminado",48
Pernambuco,"Negativo / Não Detectável",764
Pernambuco,"Positivo / Detectável",588
Pernambuco,"Inconclusivo / Indeterminado",42
"Ceará","Negativo / Não Detectável","1.115"
"Ceará","Positivo / Detectável",272
"Ceará","Inconclusivo / Indeterminado",1
"Espírito Santo","Negativo / Não Detectável",685
"Espírito Santo","Positivo / Detectável",500
"Espírito Santo","Inconclusivo / Indeterminado",20
"Mato Grosso do Sul","Negativo / Não Detectável",777
"Mato Grosso do Sul","Positivo / Detectável",359
"Mato Grosso do Sul","Inconclusivo / Indeterminado",1
Sergipe,"Positivo / Detectável",643
Sergipe,"Negativo / Não Detectável",373
"Rio Grande do Norte","Negativo / Não Detectável",380
"Rio Grande do Norte","Positivo / Detectável",294
"Rondônia","Positivo / Detectável",338
"Rondônia","Negativo / Não Detectável",272
"Rondônia","Inconclusivo / Indeterminado",14
Tocantins,"Positivo / Detectável",328
Tocantins,"Negativo / Não Detectável",289
"Pará","Negativo / Não Detectável",210
"Pará","Positivo / Detectável",120
"Pará","Inconclusivo / Indeterminado",1
Acre,"Negativo / Não Detectável",170
Acre,"Positivo / Detectável",136
Acre,"Inconclusivo / Indeterminado",1
"Piauí","Negativo / Não Detectável",159
"Piauí","Positivo / Detectável",141
"Paraíba","Negativo / Não Detectável",174
"Paraíba","Positivo / Detectável",113
"Goiás","Positivo / Detectável",171
"Goiás","Negativo / Não Detectável",106
"Maranhão","Negativo / Não Detectável",206
"Maranhão","Positivo / Detectável",48
Amazonas,"Positivo / Detectável",104
Amazonas,"Negativo / Não Detectável",99
Amazonas,"Inconclusivo / Indeterminado",1
Roraima,"Negativo / Não Detectável",123
Roraima,"Positivo / Detectável",72
Alagoas,"Negativo / Não Detectável",74
Alagoas,"Positivo / Detectável",54
"Amapá","Negativo / Não Detectável",95
"Amapá","Positivo / Detectável",26
"Amapá","Inconclusivo / Indeterminado",1
"Distrito Federal","Negativo / Não Detectável",9
"Distrito Federal","Positivo / Detectável",2
"Distrito Federal","Inconclusivo / Indeterminado",1
"Mato Grosso","Positivo / Detectável",6
"Mato Grosso","Negativo / Não Detectável",5
