"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável","1.610"
"São Paulo","Positivo / Detectável","1.004"
"São Paulo","Inconclusivo / Indeterminado",6
"Paraná","Negativo / Não Detectável","1.326"
"Paraná","Positivo / Detectável",552
"Paraná","Inconclusivo / Indeterminado",3
Bahia,"Negativo / Não Detectável",471
Bahia,"Positivo / Detectável",270
Bahia,"Inconclusivo / Indeterminado",2
"Rio Grande do Sul","Negativo / Não Detectável",399
"Rio Grande do Sul","Positivo / Detectável",241
"Minas Gerais","Negativo / Não Detectável",332
"Minas Gerais","Positivo / Detectável",162
"Minas Gerais","Inconclusivo / Indeterminado",13
"Santa Catarina","Negativo / Não Detectável",285
"Santa Catarina","Positivo / Detectável",181
"Santa Catarina","Inconclusivo / Indeterminado",3
"Mato Grosso do Sul","Negativo / Não Detectável",311
"Mato Grosso do Sul","Positivo / Detectável",120
"Ceará","Negativo / Não Detectável",252
"Ceará","Positivo / Detectável",117
"Espírito Santo","Negativo / Não Detectável",206
"Espírito Santo","Positivo / Detectável",140
"Espírito Santo","Inconclusivo / Indeterminado",5
"Rio de Janeiro","Negativo / Não Detectável",198
"Rio de Janeiro","Positivo / Detectável",139
Pernambuco,"Negativo / Não Detectável",183
Pernambuco,"Positivo / Detectável",78
Pernambuco,"Inconclusivo / Indeterminado",1
"Rio Grande do Norte","Negativo / Não Detectável",156
"Rio Grande do Norte","Positivo / Detectável",64
Sergipe,"Negativo / Não Detectável",121
Sergipe,"Positivo / Detectável",57
"Rondônia","Positivo / Detectável",92
"Rondônia","Negativo / Não Detectável",56
Tocantins,"Positivo / Detectável",87
Tocantins,"Negativo / Não Detectável",58
"Goiás","Positivo / Detectável",78
"Goiás","Negativo / Não Detectável",55
"Piauí","Negativo / Não Detectável",59
"Piauí","Positivo / Detectável",47
"Paraíba","Negativo / Não Detectável",64
"Paraíba","Positivo / Detectável",21
"Pará","Negativo / Não Detectável",57
"Pará","Positivo / Detectável",22
"Maranhão","Negativo / Não Detectável",59
"Maranhão","Positivo / Detectável",9
Alagoas,"Negativo / Não Detectável",49
Alagoas,"Positivo / Detectável",4
Acre,"Negativo / Não Detectável",35
Acre,"Positivo / Detectável",7
Amazonas,"Negativo / Não Detectável",29
Amazonas,"Positivo / Detectável",13
"Amapá","Negativo / Não Detectável",20
"Amapá","Positivo / Detectável",2
Roraima,"Negativo / Não Detectável",17
Roraima,"Positivo / Detectável",2
"Distrito Federal","Positivo / Detectável",5
"Distrito Federal","Negativo / Não Detectável",4
"Mato Grosso","Negativo / Não Detectável",3
