"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável","2.458"
"São Paulo","Positivo / Detectável",249
"São Paulo","Inconclusivo / Indeterminado",2
"Minas Gerais","Negativo / Não Detectável",826
"Minas Gerais","Positivo / Detectável",67
"Paraná","Negativo / Não Detectável",532
"Paraná","Positivo / Detectável",83
"Ceará","Negativo / Não Detectável",355
"Ceará","Positivo / Detectável",80
"Ceará","Inconclusivo / Indeterminado",9
Bahia,"Negativo / Não Detectável",360
Bahia,"Positivo / Detectável",35
"Rio Grande do Sul","Negativo / Não Detectável",206
"Rio Grande do Sul","Positivo / Detectável",26
"Rio de Janeiro","Negativo / Não Detectável",208
"Rio de Janeiro","Positivo / Detectável",14
"Rio de Janeiro","Inconclusivo / Indeterminado",1
"Piauí","Negativo / Não Detectável",177
"Piauí","Positivo / Detectável",23
"Espírito Santo","Negativo / Não Detectável",185
"Espírito Santo","Positivo / Detectável",12
"Santa Catarina","Negativo / Não Detectável",148
"Santa Catarina","Positivo / Detectável",32
"Santa Catarina","Inconclusivo / Indeterminado",1
Pernambuco,"Negativo / Não Detectável",155
Pernambuco,"Positivo / Detectável",23
"Goiás","Negativo / Não Detectável",163
"Goiás","Positivo / Detectável",13
"Paraíba","Negativo / Não Detectável",142
"Paraíba","Positivo / Detectável",28
Amazonas,"Negativo / Não Detectável",128
Amazonas,"Positivo / Detectável",10
"Maranhão","Negativo / Não Detectável",119
"Maranhão","Positivo / Detectável",11
"Mato Grosso do Sul","Negativo / Não Detectável",109
"Mato Grosso do Sul","Positivo / Detectável",8
"Rio Grande do Norte","Negativo / Não Detectável",80
"Rio Grande do Norte","Positivo / Detectável",13
"Pará","Negativo / Não Detectável",75
"Pará","Positivo / Detectável",15
"Rondônia","Negativo / Não Detectável",65
"Rondônia","Positivo / Detectável",7
Tocantins,"Negativo / Não Detectável",53
Tocantins,"Positivo / Detectável",4
Sergipe,"Negativo / Não Detectável",40
Sergipe,"Positivo / Detectável",5
Acre,"Negativo / Não Detectável",31
Acre,"Positivo / Detectável",6
"Mato Grosso","Negativo / Não Detectável",33
Alagoas,"Negativo / Não Detectável",25
Alagoas,"Positivo / Detectável",1
"Amapá","Negativo / Não Detectável",23
"Amapá","Positivo / Detectável",3
Roraima,"Negativo / Não Detectável",12
Roraima,"Positivo / Detectável",2
"Distrito Federal","Negativo / Não Detectável",8
