"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2",879
"Paraná","Coronavirus SARS-CoV2",602
"Paraná",Rinovirus,2
"Rio de Janeiro","Coronavirus SARS-CoV2",176
"Mato Grosso do Sul","Coronavirus SARS-CoV2",175
"Rio Grande do Sul","Coronavirus SARS-CoV2",171
"Santa Catarina","Coronavirus SARS-CoV2",150
"Minas Gerais","Coronavirus SARS-CoV2",134
Bahia,"Coronavirus SARS-CoV2",129
Tocantins,"Coronavirus SARS-CoV2",99
"Espírito Santo","Coronavirus SARS-CoV2",87
"Ceará","Coronavirus SARS-CoV2",82
"Goiás","Coronavirus SARS-CoV2",45
"Rondônia","Coronavirus SARS-CoV2",39
Pernambuco,"Coronavirus SARS-CoV2",38
"Rio Grande do Norte","Coronavirus SARS-CoV2",35
Sergipe,"Coronavirus SARS-CoV2",34
"Piauí","Coronavirus SARS-CoV2",31
"Paraíba","Coronavirus SARS-CoV2",27
"Pará","Coronavirus SARS-CoV2",23
Acre,"Coronavirus SARS-CoV2",10
"Maranhão","Coronavirus SARS-CoV2",9
"Mato Grosso","Coronavirus SARS-CoV2",5
Alagoas,"Coronavirus SARS-CoV2",4
Amazonas,"Coronavirus SARS-CoV2",4
"Distrito Federal","Coronavirus SARS-CoV2",1
