"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2","2.122"
"Paraná","Coronavirus SARS-CoV2","1.385"
"Paraná",Rinovirus,2
Bahia,"Coronavirus SARS-CoV2",823
Bahia,Rinovirus,2
"Rio de Janeiro","Coronavirus SARS-CoV2",480
"Ceará","Coronavirus SARS-CoV2",456
"Minas Gerais","Coronavirus SARS-CoV2",439
"Rio Grande do Sul","Coronavirus SARS-CoV2",437
"Mato Grosso do Sul","Coronavirus SARS-CoV2",345
"Espírito Santo","Coronavirus SARS-CoV2",327
"Rondônia","Coronavirus SARS-CoV2",284
"Santa Catarina","Coronavirus SARS-CoV2",242
Tocantins,"Coronavirus SARS-CoV2",235
"Goiás","Coronavirus SARS-CoV2",233
Pernambuco,"Coronavirus SARS-CoV2",216
"Piauí","Coronavirus SARS-CoV2",207
"Rio Grande do Norte","Coronavirus SARS-CoV2",126
Sergipe,"Coronavirus SARS-CoV2",96
"Paraíba","Coronavirus SARS-CoV2",73
Amazonas,"Coronavirus SARS-CoV2",57
"Pará","Coronavirus SARS-CoV2",40
"Mato Grosso","Coronavirus SARS-CoV2",38
Roraima,"Coronavirus SARS-CoV2",32
Acre,"Coronavirus SARS-CoV2",18
"Maranhão","Coronavirus SARS-CoV2",15
Alagoas,"Coronavirus SARS-CoV2",10
"Distrito Federal","Coronavirus SARS-CoV2",5
"Amapá","Coronavirus SARS-CoV2",1
