"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2","1.895"
"Paraná","Coronavirus SARS-CoV2","1.405"
"Paraná",Rinovirus,2
"Paraná",Adenovirus,1
Bahia,"Coronavirus SARS-CoV2",651
Bahia,Rinovirus,1
"Rio de Janeiro","Coronavirus SARS-CoV2",419
"Rio Grande do Sul","Coronavirus SARS-CoV2",417
"Espírito Santo","Coronavirus SARS-CoV2",412
"Mato Grosso do Sul","Coronavirus SARS-CoV2",370
"Ceará","Coronavirus SARS-CoV2",347
"Santa Catarina","Coronavirus SARS-CoV2",316
"Minas Gerais","Coronavirus SARS-CoV2",277
"Rondônia","Coronavirus SARS-CoV2",222
"Piauí","Coronavirus SARS-CoV2",212
Tocantins,"Coronavirus SARS-CoV2",211
Pernambuco,"Coronavirus SARS-CoV2",205
"Goiás","Coronavirus SARS-CoV2",82
"Rio Grande do Norte","Coronavirus SARS-CoV2",76
Sergipe,"Coronavirus SARS-CoV2",75
Amazonas,"Coronavirus SARS-CoV2",71
"Mato Grosso","Coronavirus SARS-CoV2",51
"Paraíba","Coronavirus SARS-CoV2",41
Roraima,"Coronavirus SARS-CoV2",31
"Pará","Coronavirus SARS-CoV2",24
Acre,"Coronavirus SARS-CoV2",19
"Maranhão","Coronavirus SARS-CoV2",18
Alagoas,"Coronavirus SARS-CoV2",13
"Distrito Federal","Coronavirus SARS-CoV2",5
"Amapá","Coronavirus SARS-CoV2",1
