"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2","2.082"
"Paraná","Coronavirus SARS-CoV2","1.518"
"Paraná",Rinovirus,6
Bahia,"Coronavirus SARS-CoV2",647
Bahia,Rinovirus,4
"Rio Grande do Sul","Coronavirus SARS-CoV2",452
"Rio de Janeiro","Coronavirus SARS-CoV2",432
"Mato Grosso do Sul","Coronavirus SARS-CoV2",429
"Mato Grosso do Sul",Metapneumovirus,1
Tocantins,"Coronavirus SARS-CoV2",305
"Santa Catarina","Coronavirus SARS-CoV2",299
"Minas Gerais","Coronavirus SARS-CoV2",295
"Ceará","Coronavirus SARS-CoV2",275
Pernambuco,"Coronavirus SARS-CoV2",227
"Espírito Santo","Coronavirus SARS-CoV2",225
"Rondônia","Coronavirus SARS-CoV2",195
Sergipe,"Coronavirus SARS-CoV2",124
"Goiás","Coronavirus SARS-CoV2",121
"Piauí","Coronavirus SARS-CoV2",110
"Rio Grande do Norte","Coronavirus SARS-CoV2",83
Amazonas,"Coronavirus SARS-CoV2",50
"Paraíba","Coronavirus SARS-CoV2",45
"Pará","Coronavirus SARS-CoV2",43
Roraima,"Coronavirus SARS-CoV2",30
"Mato Grosso","Coronavirus SARS-CoV2",24
"Maranhão","Coronavirus SARS-CoV2",21
Acre,"Coronavirus SARS-CoV2",14
Alagoas,"Coronavirus SARS-CoV2",12
"Distrito Federal","Coronavirus SARS-CoV2",2
"Amapá","Coronavirus SARS-CoV2",1
